id	name	tu_count	raw_bytes
corpus23	arrow	297	916009779
corpus22	folly	364	1514916526
corpus24	bitcoin	621	2311143894
corpus17	gcc	780	2542399239
corpus19	qt6	1205	7050790103
corpus21	pytorch	1742	10802074073
corpus25	v8	3798	30951684155
corpus20	clickhouse	11741	63514078131
corpus18	firefox	9646	102047678234
