logical	physical	worker	raw	wire	latency_ns	cumulative_raw	cumulative_wire	b_root	b_need	b_fill	b_control	b_carry	split_ok	c_root	c_block	c_path	c_region_control	c_raw_run	c_array_control	c_array_values	missing_regions	cf_root	cf_fill	cf_control	cf_total	fc_need	fc_control	fc_total	dir_ok
0	0	0	839260	146049	11769738	839260	146049	2378	2317	141304	24	26	1	2352	18	1746	33522	106017	1	1	1420	2378	141304	6	143688	2317	18	2335	1
1	1	1	5434195	868284	66007555	6273455	1014333	9843	10060	848331	24	26	1	7476	2358	8072	167598	672500	46	97	5491	9843	848331	6	858180	10060	18	10078	1
2	2	2	5434195	871170	62218851	11707650	1885503	10247	10060	850813	24	26	1	2	10237	8072	171689	670891	46	97	5491	10247	850813	6	861066	10060	18	10078	1
3	3	3	4094994	713348	57181825	15802644	2598851	9392	8858	695048	24	26	1	656	8727	8228	149551	537249	1	1	4873	9392	695048	6	704446	8858	18	8876	1
4	4	4	4089591	714209	43224661	19892235	3313060	8948	8785	696426	24	26	1	18	8922	8248	153053	535105	1	1	4850	8948	696426	6	705380	8785	18	8803	1
5	5	5	3444471	612745	38313056	23336706	3925805	7360	6751	598584	24	26	1	664	6687	8477	134704	455383	1	1	3782	7360	598584	6	605950	6751	18	6769	1
6	6	6	3790236	679729	58590766	27126942	4605534	7775	7445	664459	24	26	1	347	7419	8748	150520	505030	46	97	4122	7775	664459	6	672240	7445	18	7463	1
7	7	7	4336012	773931	66196703	31462954	5379465	8969	8717	756195	24	26	1	1187	7773	9340	171714	575121	1	1	4766	8969	756195	6	765170	8717	18	8735	1
8	8	8	3546232	634368	54896861	35009186	6013833	7512	7195	619611	24	26	1	220	7283	9466	145130	464995	1	1	3997	7512	619611	6	627129	7195	18	7213	1
9	9	9	3274307	577725	40615790	38283493	6591558	6833	6647	564195	24	26	1	90	6735	9581	130381	424213	1	1	3724	6833	564195	6	571034	6647	18	6665	1
10	10	10	3879853	693667	56469780	42163346	7285225	8933	8781	675903	24	26	1	28	8897	9621	157145	509117	1	1	4848	8933	675903	6	684842	8781	18	8799	1
11	11	11	4098549	723432	57199655	46261895	8008657	9064	8912	705406	24	26	1	146	8909	9727	159727	535932	1	1	4909	9064	705406	6	714476	8912	18	8930	1
12	12	12	3449557	616732	47778089	49711452	8625389	7260	6904	602518	24	26	1	270	6981	9763	141385	451350	1	1	3865	7260	602518	6	609784	6904	18	6922	1
13	13	13	3879853	694509	59316741	53591305	9319898	8936	8781	676742	24	26	1	3	8925	9763	157583	509376	1	1	4848	8936	676742	6	685684	8781	18	8799	1
14	14	14	4098549	724212	65544137	57689854	10044110	9065	8912	706185	24	26	1	3	9054	9763	160268	536134	1	1	4909	9065	706185	6	715256	8912	18	8930	1
15	15	15	3449557	616764	49563898	61139411	10660874	7045	6904	602765	24	26	1	3	7034	9763	141637	451345	1	1	3865	7045	602765	6	609816	6904	18	6922	1
16	16	16	3400600	605708	52554157	64540011	11266582	7087	6900	591671	24	26	1	93	6986	9842	139380	442429	1	1	3853	7087	591671	6	598764	6900	18	6918	1
17	17	17	3320861	596409	42825604	67860872	11862991	6758	6583	583018	24	26	1	28	6722	9872	131322	441804	1	1	3692	6758	583018	6	589782	6583	18	6601	1
18	18	18	3210935	570038	50165363	71071807	12433029	6697	6533	556758	24	26	1	40	6649	9913	128388	418437	1	1	3668	6697	556758	6	563461	6533	18	6551	1
19	19	19	3863336	688669	58580606	74935143	13121698	7790	7538	673291	24	26	1	355	7426	10103	153108	510060	1	1	4171	7790	673291	6	681087	7538	18	7556	1
20	20	20	4164315	750592	62628788	79099458	13872290	8937	8694	732911	24	26	1	765	8163	11005	168522	553172	91	103	4751	8937	732911	6	741854	8694	18	8712	1
21	21	21	3207457	569636	38369595	82306915	14441926	6666	6516	556404	24	26	1	40	6618	11036	128365	416983	1	1	3661	6666	556404	6	563076	6516	18	6534	1
22	22	22	4213723	768234	63973138	86520638	15210160	9637	9257	749290	24	26	1	281	9347	11271	167724	570275	1	1	5043	9637	749290	6	758933	9257	18	9275	1
23	23	23	4090556	746631	64843223	90611194	15956791	8421	8155	730005	24	26	1	446	7966	11640	164041	554304	1	1	4473	8421	730005	6	738432	8155	18	8173	1
24	24	24	3445172	617165	48698684	94056366	16573956	7205	7019	602891	24	26	1	184	7012	11770	141482	449619	1	1	3909	7205	602891	6	610102	7019	18	7037	1
25	25	25	3612425	643475	50672460	97668791	17217431	7227	6820	629378	24	26	1	311	6907	11796	141045	476517	1	1	3795	7227	629378	6	636611	6820	18	6838	1
26	26	26	3327247	603848	46925647	100996038	17821279	6758	6583	590457	24	26	1	28	6722	11824	136559	442054	1	1	3692	6758	590457	6	597221	6583	18	6601	1
27	27	27	3674163	654375	41184376	104670201	18475654	7626	7416	639283	24	26	1	78	7540	11872	152937	474454	1	1	4117	7626	639283	6	646915	7416	18	7434	1
28	28	28	3616621	658225	50611181	108286822	19133879	7494	7258	643423	24	26	1	449	7036	12255	146445	484562	46	97	4024	7494	643423	6	650923	7258	18	7276	1
29	29	29	3479243	627817	55480977	111766065	19761696	7319	7118	613330	24	26	1	107	7204	12321	146377	454612	1	1	3957	7319	613330	6	620655	7118	18	7136	1
30	30	0	3395484	466786	39280899	115161549	20228482	7128	4325	455309	24	0	1	114	7006	10777	106186	338325	1	1	2463	7128	455309	6	462443	4325	18	4343	1
31	31	1	1859816	23600	4335680	117021365	20252082	4115	188	19273	24	0	1	54	4053	4766	5226	9262	1	1	91	4115	19273	6	23394	188	18	206	1
32	32	2	1698503	15038	4018172	118719868	20267120	3992	218	10804	24	0	1	203	3780	4790	1775	4220	1	1	113	3992	10804	6	14802	218	18	236	1
33	33	3	1521191	15478	3370597	120241059	20282598	3447	202	11805	24	0	1	36	3403	4640	4616	2530	1	1	98	3447	11805	6	15258	202	18	220	1
34	34	4	3697406	470671	82754109	123938465	20753269	152	33	470462	24	0	1	16	128	4627	895	3624	375	460921	12	152	470462	6	470620	33	18	51	1
35	35	5	2046643	12469	3062139	125985108	20765738	4570	81	7794	24	0	1	52	4510	4472	539	2764	1	1	37	4570	7794	6	12370	81	18	99	1
36	36	6	2210858	25349	4337131	128195966	20791087	4896	152	20277	24	0	1	118	4770	4303	2414	13541	1	1	72	4896	20277	6	25179	152	18	170	1
37	37	7	2071158	18771	3795993	130267124	20809858	4577	170	14000	24	0	1	40	4529	3636	2387	7958	1	1	80	4577	14000	6	18583	170	18	188	1
38	38	8	2058966	14485	3408167	132326090	20824343	4564	63	9834	24	0	1	27	4529	3535	1013	5267	1	1	27	4564	9834	6	14404	63	18	81	1
39	39	9	1832086	52714	8788149	134158176	20877057	3573	59	49058	24	0	1	25	3540	3410	325	604	35	44665	26	3573	49058	6	52637	59	18	77	1
40	40	10	2042958	11939	3830043	136201134	20888996	4537	164	7214	24	0	1	24	4505	3391	1855	1908	30	13	79	4537	7214	6	11757	164	18	182	1
41	41	11	2062827	17075	4096742	138263961	20906071	4564	190	12297	24	0	1	27	4529	3289	2855	6134	1	1	92	4564	12297	6	16867	190	18	208	1
42	42	12	2062100	16661	3749304	140326061	20922732	4564	162	11911	24	0	1	27	4529	3255	2316	6321	1	1	76	4564	11911	6	16481	162	18	180	1
43	43	13	2070128	19220	4333090	142396189	20941952	4593	198	14405	24	0	1	40	4545	3259	3077	8050	1	1	96	4593	14405	6	19004	198	18	216	1
44	44	14	2065016	18258	4110862	144461205	20960210	4571	196	13467	24	0	1	22	4541	3267	2952	7229	1	1	95	4571	13467	6	18044	196	18	214	1
