logical	physical	worker	raw	wire	latency_ns	cumulative_raw	cumulative_wire	b_root	b_need	b_fill	b_control	b_carry	split_ok	c_root	c_block	c_path	c_region_control	c_raw_run	c_array_control	c_array_values	missing_regions	cf_root	cf_fill	cf_control	cf_total	fc_need	fc_control	fc_total	dir_ok
0	0	0	5348202	838288	70088428	5348202	838288	12957	12737	812544	24	26	1	12877	72	4788	171982	635710	30	17	6844	12957	812544	6	825507	12737	18	12755	1
1	1	0	5348204	13989	9088318	10696406	852277	12961	11	993	24	0	1	4	12949	1	870	105	1	1	1	12961	993	6	13960	11	18	29	1
2	2	0	5348198	680	4446290	16044604	852957	12	11	633	24	0	1	4	1	1	513	102	1	1	1	12	633	6	651	11	18	29	1
3	3	0	5348178	675	5099335	21392782	853632	12	11	628	24	0	1	4	1	1	515	95	1	1	1	12	628	6	646	11	18	29	1
4	4	0	5348216	690	5070246	26740998	854322	12	11	643	24	0	1	4	1	1	518	107	1	1	1	12	643	6	661	11	18	29	1
5	5	0	5348218	689	4450680	32089216	855011	12	11	642	24	0	1	4	1	1	517	107	1	1	1	12	642	6	660	11	18	29	1
6	6	0	5348244	701	4719678	37437460	855712	12	11	654	24	0	1	4	1	1	518	118	1	1	1	12	654	6	672	11	18	29	1
7	7	0	5348246	701	4405360	42785706	856413	12	11	654	24	0	1	4	1	1	518	118	1	1	1	12	654	6	672	11	18	29	1
8	8	0	5348518	720	4662209	48134224	857133	12	11	673	24	0	1	4	1	1	514	140	1	1	1	12	673	6	691	11	18	29	1
9	9	0	5348202	684	5476623	53482426	857817	12	11	637	24	0	1	4	1	1	514	105	1	1	1	12	637	6	655	11	18	29	1
10	10	0	5348180	675	4250622	58830606	858492	12	11	628	24	0	1	4	1	1	515	95	1	1	1	12	628	6	646	11	18	29	1
11	11	0	5348180	679	4200342	64178786	859171	12	11	632	24	0	1	4	1	1	516	98	1	1	1	12	632	6	650	11	18	29	1
12	12	0	5348319	705	5046376	69527105	859876	12	11	658	24	0	1	4	1	1	513	127	1	1	1	12	658	6	676	11	18	29	1
