logical	physical	worker	raw	wire	latency_ns	cumulative_raw	cumulative_wire	b_root	b_need	b_fill	b_control	b_carry	split_ok	c_root	c_block	c_path	c_region_control	c_raw_run	c_array_control	c_array_values	missing_regions	cf_root	cf_fill	cf_control	cf_total	fc_need	fc_control	fc_total	dir_ok
0	0	0	2271271	367655	32736981	2271271	367655	4862	4548	358195	24	26	1	4747	107	2986	82544	272646	1	1	2662	4862	358195	6	363063	4548	18	4566	1
1	1	1	2427956	391777	33749153	4699227	759432	5666	4864	381197	24	26	1	904	4753	3303	89899	287975	1	1	2808	5666	381197	6	386869	4864	18	4882	1
2	2	2	2320434	380994	31071702	7019661	1140426	5484	4703	370757	24	26	1	443	5032	3310	89081	278346	1	1	2711	5484	370757	6	376247	4703	18	4721	1
3	3	3	2405067	392267	35198543	9424728	1532693	5455	4835	381927	24	26	1	172	5274	3328	91535	287044	1	1	2784	5455	381927	6	387388	4835	18	4853	1
4	4	4	2424637	393966	34671267	11849365	1926659	5260	4867	383789	24	26	1	66	5186	3361	91792	288616	1	1	2802	5260	383789	6	389055	4867	18	4885	1
5	5	5	2672906	429185	31180501	14522271	2355844	5644	5159	418332	24	26	1	382	5253	3494	99777	315041	1	1	2960	5644	418332	6	423982	5159	18	5177	1
6	6	6	2420949	394060	33749233	16943220	2749904	5341	4871	383798	24	26	1	192	5140	3546	92119	288113	1	1	2801	5341	383798	6	389145	4871	18	4889	1
7	7	7	2636832	424490	39199135	19580052	3174394	5660	5182	413598	24	26	1	210	5441	3574	98902	311102	1	1	2962	5660	413598	6	419264	5182	18	5200	1
8	8	8	2636899	424619	36772533	22216951	3599013	5627	5184	413758	24	26	1	64	5555	3588	99047	311103	1	1	2962	5627	413758	6	419391	5184	18	5202	1
9	9	9	2276151	375422	27699055	24493102	3974435	5092	4660	365620	24	26	1	129	4954	3615	89009	272976	1	1	2685	5092	365620	6	370718	4660	18	4678	1
10	10	10	2459881	398602	27663306	26952983	4373037	5331	4937	388284	24	26	1	136	5186	3689	93172	291403	1	1	2835	5331	388284	6	393621	4937	18	4955	1
11	11	11	2579598	414389	34434449	29532581	4787426	5542	5078	403719	24	26	1	119	5415	3724	96129	303846	1	1	2908	5542	403719	6	409267	5078	18	5096	1
12	12	12	3111738	486536	48386041	32644319	5273962	6435	5975	474076	24	26	1	1083	5343	4154	112498	357404	1	1	3377	6435	474076	6	480517	5975	18	5993	1
13	13	13	2453083	399854	37963884	35097402	5673816	5356	4925	389523	24	26	1	78	5270	4171	93749	291583	1	1	2822	5356	389523	6	394885	4925	18	4943	1
14	14	14	3140841	489843	47255298	38238243	6163659	6605	6009	477179	24	26	1	113	6484	4178	113817	359164	1	1	3395	6605	477179	6	483790	6009	18	6027	1
15	15	15	2520090	407646	40272158	40758333	6571305	5621	4994	396981	24	26	1	327	5285	4258	95493	297210	1	1	2862	5621	396981	6	402608	4994	18	5012	1
16	16	16	3230463	500174	42790020	43988796	7071479	6754	6192	487178	24	26	1	260	6485	4420	116256	366482	1	1	3493	6754	487178	6	493938	6192	18	6210	1
17	17	17	2435196	397706	38669359	46423992	7469185	5326	4910	387420	24	26	1	64	5254	4436	93384	289580	1	1	2817	5326	387420	6	392752	4910	18	4928	1
18	18	18	2421313	395985	39501253	48845305	7865170	5246	4859	385830	24	26	1	52	5186	4448	93026	288336	1	1	2796	5246	385830	6	391082	4859	18	4877	1
19	19	19	2424860	396364	39515973	51270165	8261534	5264	4870	386180	24	26	1	56	5200	4459	93124	288577	1	1	2802	5264	386180	6	391450	4870	18	4888	1
20	20	20	2421157	395492	38424931	53691322	8657026	5312	4898	385232	24	26	1	80	5224	4480	93103	287629	1	1	2811	5312	385232	6	390550	4898	18	4916	1
21	21	21	3294270	509004	48743538	56985592	9166030	6816	6209	495929	24	26	1	99	6709	4489	117573	373847	1	1	3501	6816	495929	6	502751	6209	18	6227	1
22	22	22	2991780	469252	46821552	59977372	9635282	6477	5839	456886	24	26	1	288	6180	4557	110262	342047	1	1	3296	6477	456886	6	463369	5839	18	5857	1
23	23	23	2243242	373878	28319872	62220614	10009160	5177	4673	363978	24	26	1	217	4951	4585	89123	270250	1	1	2686	5177	363978	6	369161	4673	18	4691	1
24	24	24	2357096	388477	35781680	64577710	10397637	5437	4776	378214	24	26	1	311	5117	4634	92335	281225	1	1	2738	5437	378214	6	383657	4776	18	4794	1
25	25	25	2206374	370469	31345811	66784084	10768106	4880	4571	360968	24	26	1	32	4840	4650	88703	267595	1	1	2637	4880	360968	6	365854	4571	18	4589	1
26	26	26	2206105	370487	36251566	68990189	11138593	4880	4571	360986	24	26	1	32	4840	4664	88727	267575	1	1	2637	4880	360986	6	365872	4571	18	4589	1
27	27	27	2221070	371444	27384117	71211259	11510037	4990	4618	361786	24	26	1	58	4924	4682	89072	268012	1	1	2656	4990	361786	6	366782	4618	18	4636	1
28	28	28	1947178	334245	27810985	73158437	11844282	4577	4217	325401	24	26	1	98	4471	4697	81869	238815	1	1	2446	4577	325401	6	329984	4217	18	4235	1
29	29	29	2128442	360335	30824014	75286879	12204617	4794	4431	351060	24	26	1	102	4684	4723	87078	259239	1	1	2555	4794	351060	6	355860	4431	18	4449	1
30	30	0	2367154	43271	7297919	77654033	12247888	5488	653	37106	24	0	1	202	5277	1943	14352	20791	1	1	363	5488	37106	6	42600	653	18	671	1
31	31	1	2360643	27672	4821116	80014676	12275560	5418	595	21635	24	0	1	232	5177	1735	10993	8888	1	1	311	5418	21635	6	27059	595	18	613	1
32	32	2	2001109	17158	3649095	82015785	12292718	4618	448	12068	24	0	1	72	4538	1732	5762	4555	1	1	220	4618	12068	6	16692	448	18	466	1
33	33	3	2218995	11179	2549002	84234780	12303897	4861	164	6130	24	0	1	34	4819	1736	3176	1199	1	1	78	4861	6130	6	10997	164	18	182	1
34	34	4	2221096	11382	3066718	86455876	12315279	4861	164	6333	24	0	1	34	4819	1720	3219	1375	1	1	78	4861	6333	6	11200	164	18	182	1
35	35	5	2129659	14956	3349477	88585535	12330235	4779	372	9781	24	0	1	94	4677	1595	6015	2152	1	1	182	4779	9781	6	14566	372	18	390	1
36	36	6	2247320	12793	3095148	90832855	12343028	4929	212	7628	24	0	1	54	4867	1555	3705	2349	1	1	103	4929	7628	6	12563	212	18	230	1
