logical	physical	worker	raw	wire	latency_ns	cumulative_raw	cumulative_wire	b_root	b_need	b_fill	b_control	b_carry	split_ok	c_root	c_block	c_path	c_region_control	c_raw_run	c_array_control	c_array_values	missing_regions	cf_root	cf_fill	cf_control	cf_total	fc_need	fc_control	fc_total	dir_ok
0	0	0	2364113	439796	30634394	2364113	439796	4323	4198	431225	24	26	1	4277	38	2966	70078	358162	1	1	2468	4323	431225	6	435554	4198	18	4216	1
1	1	1	2525815	425335	27820663	4889928	865131	4619	4497	416169	24	26	1	577	4033	3453	74723	337973	1	1	2622	4619	416169	6	420794	4497	18	4515	1
2	2	2	2749866	465635	33724334	7639794	1330766	4899	4678	456008	24	26	1	271	4619	3589	81377	371022	1	1	2713	4899	456008	6	460913	4678	18	4696	1
3	3	3	2156755	350130	27986261	9796549	1680896	4152	4015	341913	24	26	1	126	4018	3601	65392	272900	1	1	2356	4152	341913	6	346071	4015	18	4033	1
4	4	4	2024712	346670	22698425	11821261	2027566	4186	4027	338407	24	26	1	56	4122	3619	66776	267992	1	1	2359	4186	338407	6	342599	4027	18	4045	1
5	5	5	1957958	345425	30180637	13779219	2372991	4830	4764	335781	24	26	1	767	4054	4179	68009	263573	1	1	2761	4830	335781	6	340617	4764	18	4782	1
6	6	6	2091912	355101	22558625	15871131	2728092	4207	4059	346785	24	26	1	46	4153	4207	67499	275059	1	1	2377	4207	346785	6	350998	4059	18	4077	1
7	7	7	2172271	368852	25055219	18043402	3096944	4257	4128	360417	24	26	1	46	4203	4228	69846	286323	1	1	2415	4257	360417	6	364680	4128	18	4146	1
8	8	8	2023269	347126	22828254	20066671	3444070	4158	4029	338889	24	26	1	31	4119	4240	67110	267519	1	1	2361	4158	338889	6	343053	4029	18	4047	1
9	9	9	2164713	363834	28282489	22231384	3807904	4156	3993	355635	24	26	1	61	4087	4271	67846	283498	1	1	2348	4156	355635	6	359797	3993	18	4011	1
10	10	10	2197076	374046	26763459	24428460	4181950	4248	4088	365660	24	26	1	68	4172	4316	69669	291655	1	1	2392	4248	365660	6	369914	4088	18	4106	1
11	11	11	2032919	349313	24679872	26461379	4531263	4156	4026	341081	24	26	1	32	4116	4325	67356	269380	1	1	2365	4156	341081	6	345243	4026	18	4044	1
12	12	12	2070861	362877	26526810	28532240	4894140	4215	4069	354543	24	26	1	59	4148	4337	68898	281288	1	1	2380	4215	354543	6	358764	4069	18	4087	1
13	13	13	2642429	448974	35903051	31174669	5343114	4583	4415	439926	24	26	1	126	4449	4380	82053	353473	1	1	2566	4583	439926	6	444515	4415	18	4433	1
14	14	14	2078480	359818	25886154	33253149	5702932	4213	4070	351485	24	26	1	84	4121	4458	68750	278257	1	1	2382	4213	351485	6	355704	4070	18	4088	1
15	15	15	2017151	350324	24221126	35270300	6053256	4127	3971	342176	24	26	1	38	4081	4468	67718	269970	1	1	2336	4127	342176	6	346309	3971	18	3989	1
16	16	16	1186096	208350	20241941	36456396	6261606	2498	2414	203388	24	26	1	30	2460	4483	38940	159945	1	1	1469	2498	203388	6	205892	2414	18	2432	1
17	17	17	804563	135084	10953380	37260959	6396690	1597	1522	131915	24	26	1	26	1563	4497	25578	101820	1	1	938	1597	131915	6	133518	1522	18	1540	1
18	18	18	2278690	388743	24385404	39539649	6785433	4286	4113	380294	24	26	1	102	4176	4544	73325	302405	1	1	2405	4286	380294	6	384586	4113	18	4131	1
19	19	19	3728430	584038	51674740	43268079	7369471	5169	4926	573893	24	26	1	480	4680	5112	95156	473605	1	1	2836	5169	573893	6	579068	4926	18	4944	1
20	20	20	1972844	344269	21747381	45240923	7713740	4080	3957	336182	24	26	1	34	4038	5144	67588	263430	1	1	2329	4080	336182	6	340268	3957	18	3975	1
21	21	21	2144957	381869	25485727	47385880	8095609	4426	4217	373176	24	26	1	98	4320	5176	70885	275917	380	20797	2461	4426	373176	6	377608	4217	18	4235	1
22	22	22	2803559	450893	33707395	50189439	8546502	4720	4577	441546	24	26	1	411	4300	5221	84569	351736	1	1	2644	4720	441546	6	446272	4577	18	4595	1
23	23	23	2608982	465422	31066521	52798421	9011924	5087	5023	455262	24	26	1	636	4442	5416	97446	352380	1	1	2890	5087	455262	6	460355	5023	18	5041	1
24	24	24	2711408	476463	35483804	55509829	9488387	5252	5069	466092	24	26	1	84	5160	5448	100427	360197	1	1	2914	5252	466092	6	471350	5069	18	5087	1
25	25	25	2754076	486230	27630163	58263905	9974617	5332	5150	475698	24	26	1	73	5251	5475	102560	367643	1	1	2953	5332	475698	6	481036	5150	18	5168	1
26	26	26	2231230	388732	28033641	60495135	10363349	4377	4245	380060	24	26	1	36	4333	5493	78545	296002	1	1	2470	4377	380060	6	384443	4245	18	4263	1
27	27	27	2035107	361944	23799638	62530242	10725293	4164	4005	353725	24	26	1	41	4115	5508	72095	276102	1	1	2352	4164	353725	6	357895	4005	18	4023	1
