logical	physical	worker	raw	wire	latency_ns	cumulative_raw	cumulative_wire	b_root	b_need	b_fill	b_control	b_carry	split_ok	c_root	c_block	c_path	c_region_control	c_raw_run	c_array_control	c_array_values	missing_regions	cf_root	cf_fill	cf_control	cf_total	fc_need	fc_control	fc_total	dir_ok
0	0	0	3977760	644384	59816748	3977760	644384	8137	7908	628290	24	25	1	8037	92	4002	141188	482621	91	370	4418	8137	628290	6	636433	7908	18	7926	1
1	1	0	3983495	9923	8127933	7961255	654307	8171	25	1703	24	0	1	19	8144	79	202	1404	1	1	8	8171	1703	6	9880	25	18	43	1
2	2	0	3983525	2121	4963745	11944780	656428	25	23	2049	24	0	1	17	1	75	266	1690	1	1	7	25	2049	6	2080	23	18	41	1
3	3	0	3978762	1228	3783663	15923542	657656	25	23	1156	24	0	1	17	1	79	155	904	1	1	7	25	1156	6	1187	23	18	41	1
4	4	0	3979308	1201	4013352	19902850	658857	25	23	1129	24	0	1	17	1	79	176	856	1	1	7	25	1129	6	1160	23	18	41	1
5	5	0	3978883	1216	4404089	23881733	660073	25	23	1144	24	0	1	17	1	80	150	896	1	1	7	25	1144	6	1175	23	18	41	1
6	6	0	4015592	30040	6566323	27897325	690113	8182	400	21434	24	0	1	462	7711	129	15892	5394	1	1	242	8182	21434	6	29622	400	18	418	1
7	7	0	4037713	20416	5110574	31935038	710529	8210	55	12127	24	0	1	49	8153	108	1830	10171	1	1	23	8210	12127	6	20343	55	18	73	1
8	8	0	3979517	1847	4828746	35914555	712376	25	23	1775	24	0	1	17	1	78	270	1409	1	1	7	25	1775	6	1806	23	18	41	1
9	9	0	3979614	1272	4906326	39894169	713648	25	23	1200	24	0	1	17	1	78	184	920	1	1	7	25	1200	6	1231	23	18	41	1
10	10	0	3977868	1012	4330909	43872037	714660	25	23	940	24	0	1	17	1	77	168	677	1	1	7	25	940	6	971	23	18	41	1
11	11	0	3977339	999	4271230	47849376	715659	25	23	927	24	0	1	17	1	77	166	666	1	1	7	25	927	6	958	23	18	41	1
