logical	physical	worker	raw	wire	latency_ns	cumulative_raw	cumulative_wire	b_root	b_need	b_fill	b_control	b_carry	split_ok	c_root	c_block	c_path	c_region_control	c_raw_run	c_array_control	c_array_values	missing_regions	cf_root	cf_fill	cf_control	cf_total	fc_need	fc_control	fc_total	dir_ok
32	32	2	1694908	14025	3135600	113327787	19509277	4129	326	9546	24	0	1	349	3771	2650	5905	972	1	1	165	4129	9546	6	13681	326	18	344	1
33	33	3	3149329	23290	5235616	116477116	19532567	7371	311	15584	24	0	1	51	7312	2538	4628	8399	1	1	150	7371	15584	6	22961	311	18	329	1
34	34	4	2886351	38955	6525217	119363467	19571522	7238	710	30983	24	0	1	152	7077	2526	8880	19557	1	1	369	7238	30983	6	38227	710	18	728	1
35	35	5	3700722	91523	10191203	123064189	19663045	9109	1238	81152	24	0	1	140	8960	2500	19895	58736	1	1	710	9109	81152	6	90267	1238	18	1256	1
36	36	6	3508974	51569	8011417	126573163	19714614	8729	635	42181	24	0	1	228	8492	2447	12257	27457	1	1	337	8729	42181	6	50916	635	18	653	1
37	37	7	3500367	25542	6585537	130073530	19740156	8492	399	16627	24	0	1	315	8168	2295	3942	10371	1	1	196	8492	16627	6	25125	399	18	417	1
38	38	8	3971550	180414	21573108	134045080	19920570	9089	1643	169658	24	0	1	284	8796	2104	31125	136408	1	1	965	9089	169658	6	178753	1643	18	1661	1
39	39	9	2394412	48342	6894265	136439492	19968912	5977	682	41659	24	0	1	53	5916	2074	9513	30052	1	1	374	5977	41659	6	47642	682	18	700	1
40	40	10	3541553	81582	8745562	139981045	20050494	7807	715	73036	24	0	1	139	7659	2053	16529	54433	1	1	394	7807	73036	6	80849	715	18	733	1
41	41	11	4360803	194317	23820894	144341848	20244811	10158	2320	181815	24	0	1	337	9812	2087	36593	143114	1	1	1330	10158	181815	6	191979	2320	18	2338	1
42	42	12	4455883	155638	20607794	148797731	20400449	9805	1456	144353	24	0	1	112	9685	2016	27251	115065	1	1	835	9805	144353	6	154164	1456	18	1474	1
43	43	13	3528182	101761	9612267	152325913	20502210	7740	906	93091	24	0	1	78	7654	2018	20355	70697	1	1	512	7740	93091	6	100837	906	18	924	1
44	44	14	4160577	94255	12626097	156486490	20596465	9529	910	83792	24	0	1	169	9351	2028	19635	62108	1	1	495	9529	83792	6	93327	910	18	928	1
45	45	15	3447564	55277	8356045	159934054	20651742	8739	788	45726	24	0	1	181	8549	2001	10684	33021	1	1	449	8739	45726	6	54471	788	18	806	1
46	46	16	2968010	59014	7205692	162902064	20710756	7210	627	51153	24	0	1	414	6787	1950	10540	38643	1	1	350	7210	51153	6	58369	627	18	645	1
47	47	17	3175279	154224	19284963	166077343	20864980	7397	1557	145246	24	0	1	791	6597	2108	30499	112618	1	1	925	7397	145246	6	152649	1557	18	1575	1
48	48	18	4578134	200296	24010552	170655477	21065276	10581	2085	187606	24	0	1	265	10307	2099	36506	148980	1	1	1211	10581	187606	6	198193	2085	18	2103	1
49	49	19	4614383	223158	25673861	175269860	21288434	10572	2417	210145	24	0	1	450	10113	2136	40350	167638	1	1	1377	10572	210145	6	220723	2417	18	2435	1
50	50	20	4158627	93565	12782846	179428487	21381999	9721	1198	82622	24	0	1	170	9542	2139	18781	61681	1	1	654	9721	82622	6	92349	1198	18	1216	1
51	51	21	3717490	23611	5916001	183145977	21405610	8388	477	14722	24	0	1	91	8289	1554	4771	8378	1	1	240	8388	14722	6	23116	477	18	495	1
52	52	22	3579788	275534	20398906	186725765	21681144	7833	2643	265034	24	0	1	74	7751	1557	49640	213816	1	1	1527	7833	265034	6	272873	2643	18	2661	1
53	53	23	4934852	243376	27695748	191660617	21924520	10560	1733	231059	24	0	1	446	10105	1631	39524	189883	1	1	989	10560	231059	6	241625	1733	18	1751	1
54	54	24	2822997	75898	9313179	194483614	22000418	6971	1186	67717	24	0	1	108	6855	1567	15305	50825	1	1	679	6971	67717	6	74694	1186	18	1204	1
