logical	physical	worker	raw	wire	latency_ns	cumulative_raw	cumulative_wire	b_root	b_need	b_fill	b_control	b_carry	split_ok	c_root	c_block	c_path	c_region_control	c_raw_run	c_array_control	c_array_values	missing_regions	cf_root	cf_fill	cf_control	cf_total	fc_need	fc_control	fc_total	dir_ok
32	32	2	3984932	2093	10434617	131508239	19682673	25	23	2021	24	0	1	17	1	534	212	1256	1	1	7	25	2021	6	2052	23	18	41	1
33	33	3	3981491	1891	9842511	135489730	19684564	25	23	1819	24	0	1	17	1	535	195	1070	1	1	7	25	1819	6	1850	23	18	41	1
34	34	4	3980324	1823	9274155	139470054	19686387	25	23	1751	24	0	1	17	1	535	184	1013	1	1	7	25	1751	6	1782	23	18	41	1
35	35	5	3980537	2501	9001946	143450591	19688888	35	33	2409	24	0	1	27	1	551	301	1538	1	1	12	35	2409	6	2450	33	18	51	1
36	36	6	3979887	19351	6489205	147430478	19708239	8163	424	10740	24	0	1	17	8138	508	8769	1444	1	1	228	8163	10740	6	18909	424	18	442	1
37	37	7	3980447	19422	6211137	151410925	19727661	8163	424	10811	24	0	1	17	8138	462	8793	1537	1	1	228	8163	10811	6	18980	424	18	442	1
38	38	8	3986312	2496	9904600	155397237	19730157	27	25	2420	24	0	1	19	1	469	292	1640	1	1	8	27	2420	6	2453	25	18	43	1
39	39	9	2839010	11951	4118221	158236247	19742108	6127	207	5593	24	0	1	265	5853	469	1529	3576	1	1	111	6127	5593	6	11726	207	18	225	1
40	40	10	2878074	9723	4514028	161114321	19751831	6290	77	3332	24	0	1	112	6170	467	819	2027	1	1	34	6290	3332	6	9628	77	18	95	1
41	41	11	2497835	7748	3276737	163612156	19759579	5467	63	2194	24	0	1	58	5401	463	661	1051	1	1	27	5467	2194	6	7667	63	18	81	1
42	42	12	3023414	11685	3972982	166635570	19771264	6743	199	4719	24	0	1	332	6402	484	2550	1666	1	1	96	6743	4719	6	11468	199	18	217	1
43	43	13	2432772	9250	2988089	169068342	19780514	5255	156	3815	24	0	1	10	5237	486	2830	480	1	1	73	5255	3815	6	9076	156	18	174	1
44	44	14	2433850	9499	3323357	171502192	19790013	5259	160	4056	24	0	1	14	5237	478	2885	674	1	1	75	5259	4056	6	9321	160	18	178	1
45	45	15	3977760	9670	4882605	175479952	19799683	8164	18	1464	24	0	1	3	8153	468	167	810	1	1	7	8164	1464	6	9634	18	18	36	1
46	46	16	3983495	10337	9511994	179463447	19810020	8172	25	2116	24	0	1	3	8161	459	233	1405	1	1	8	8172	2116	6	10294	25	18	43	1
47	47	17	3983525	10659	8778839	183446972	19820679	8170	23	2442	24	0	1	3	8159	445	301	1677	1	1	7	8170	2442	6	10618	23	18	41	1
48	48	18	3978762	9726	5004295	187425734	19830405	8170	23	1509	24	0	1	3	8159	435	151	904	1	1	7	8170	1509	6	9685	23	18	41	1
49	49	19	3979308	9728	5088944	191405042	19840133	8170	23	1511	24	0	1	3	8159	419	179	894	1	1	7	8170	1511	6	9687	23	18	41	1
50	50	20	3978883	9705	4339009	195383925	19849838	8170	23	1488	24	0	1	3	8159	408	165	896	1	1	7	8170	1488	6	9664	23	18	41	1
51	51	21	4015592	24861	10366487	199399517	19874699	8213	400	16224	24	0	1	3	8202	386	10108	5711	1	1	242	8213	16224	6	24443	400	18	418	1
52	52	22	4037713	30546	10013980	203437230	19905245	8215	401	21906	24	0	1	3	8204	371	10712	10804	1	1	244	8215	21906	6	30127	401	18	419	1
53	53	23	3979517	10335	9124906	207416747	19915580	8170	23	2118	24	0	1	3	8159	358	287	1454	1	1	7	8170	2118	6	10294	23	18	41	1
54	54	24	3979614	9930	8990276	211396361	19925510	8170	23	1544	24	169	1	3	8159	350	179	996	1	1	7	8170	1544	6	9720	23	18	41	1
