logical	physical	worker	raw	wire	latency_ns	cumulative_raw	cumulative_wire	b_root	b_need	b_fill	b_control	b_carry	split_ok	c_root	c_block	c_path	c_region_control	c_raw_run	c_array_control	c_array_values	missing_regions	cf_root	cf_fill	cf_control	cf_total	fc_need	fc_control	fc_total	dir_ok
0	0	0	7069925	1091120	92101973	7069925	1091120	18196	18034	1054840	24	26	1	18080	107	6571	235375	812875	1	1	9075	18196	1054840	6	1073042	18034	18	18052	1
1	1	1	4103275	640322	46677593	11173200	1731442	8649	7908	623715	24	26	1	1599	7041	6623	148822	468250	1	1	4369	8649	623715	6	632370	7908	18	7926	1
2	2	2	7176133	1121574	71213986	18349333	2853016	19401	19053	1083070	24	26	1	2452	16939	6696	253517	822837	1	1	9580	19401	1083070	6	1102477	19053	18	19071	1
3	3	3	6224340	944888	82352790	24573673	3797904	14304	13130	917404	24	26	1	1603	12692	6706	221711	688967	1	1	6993	14304	917404	6	931714	13130	18	13148	1
4	4	4	8166516	1209570	107191702	32740189	5007474	32478	29789	1147253	24	26	1	15352	17116	6803	288372	852058	1	1	14719	32478	1147253	6	1179737	29789	18	29807	1
5	5	5	6348398	960166	63358329	39088587	5967640	15503	15027	929586	24	26	1	2518	12976	6840	230073	692653	1	1	7661	15503	929586	6	945095	15027	18	15045	1
6	6	6	7789896	1201667	102086397	46878483	7169307	25027	25263	1151327	24	26	1	7893	17124	7062	283230	861015	1	1	12285	25027	1151327	6	1176360	25263	18	25281	1
7	7	7	3233616	514232	42273542	50112099	7683539	6696	6392	501094	24	26	1	938	5749	7076	122602	371396	1	1	3500	6696	501094	6	507796	6392	18	6410	1
8	8	8	5851842	866641	56138588	55963941	8550180	12581	12337	841673	24	26	1	2052	10520	7114	211094	623445	1	1	6351	12581	841673	6	854260	12337	18	12355	1
9	9	9	6238873	949866	81942793	62202814	9500046	13931	13546	922339	24	26	1	1301	12621	7162	228593	686563	1	1	7044	13931	922339	6	936276	13546	18	13564	1
10	10	10	3218884	512975	47594416	65421698	10013021	6313	6214	500398	24	26	1	667	5637	7172	122315	370890	1	1	3419	6313	500398	6	506717	6214	18	6232	1
11	11	11	6381050	960437	61126595	71802748	10973458	15402	15305	929680	24	26	1	2848	12545	7185	233159	689315	1	1	7751	15402	929680	6	945088	15305	18	15323	1
12	12	12	5611209	825414	72993923	77413957	11798872	11479	11293	802592	24	26	1	1243	10227	7193	199596	595782	1	1	5880	11479	802592	6	814077	11293	18	11311	1
13	13	13	7574081	1164190	95946758	84988038	12963062	24727	23920	1115493	24	26	1	7642	17075	7251	276049	832172	1	1	11699	24727	1115493	6	1140226	23920	18	23938	1
14	14	14	7652092	1190504	102336734	92640130	14153566	23336	22895	1144223	24	26	1	5782	17544	7518	279318	857366	1	1	11249	23336	1144223	6	1167565	22895	18	22913	1
15	15	15	24011	12958	4578059	92664141	14166524	315	253	12340	24	26	1	92	215	7542	1441	3338	1	1	137	315	12340	6	12661	253	18	271	1
16	16	16	24039	13080	4600969	92688180	14179604	279	252	12499	24	26	1	22	249	7550	1574	3356	1	1	137	279	12499	6	12784	252	18	270	1
17	17	17	6349276	961803	85666859	99037456	15141407	15435	15031	931287	24	26	1	2625	12801	7559	232770	690937	1	1	7611	15435	931287	6	946728	15031	18	15049	1
