logical	physical	worker	raw	wire	latency_ns	cumulative_raw	cumulative_wire	b_root	b_need	b_fill	b_control	b_carry	split_ok	c_root	c_block	c_path	c_region_control	c_raw_run	c_array_control	c_array_values	missing_regions	cf_root	cf_fill	cf_control	cf_total	fc_need	fc_control	fc_total	dir_ok
0	0	0	1111313	192116	24338309	1111313	192116	2981	2882	186203	24	26	1	2935	38	2417	42375	141392	1	1	1749	2981	186203	6	189190	2882	18	2900	1
1	1	0	1104640	3390	2029296	2215953	195506	2898	29	439	24	0	1	23	2867	66	80	276	1	1	10	2898	439	6	3343	29	18	47	1
2	2	0	1111427	1032	3055009	3327380	196538	103	101	804	24	0	1	95	1	66	245	475	1	1	46	103	804	6	913	101	18	119	1
3	3	0	1123736	1925	1864957	4451116	198463	184	182	1535	24	0	1	175	1	73	417	1027	1	1	100	184	1535	6	1725	182	18	200	1
4	4	0	1119581	1824	2031415	5570697	200287	180	183	1437	24	0	1	171	1	67	444	908	1	1	94	180	1437	6	1623	183	18	201	1
5	5	0	1109391	1520	1892587	6680088	201807	71	67	1358	24	0	1	63	1	72	220	1048	1	1	29	71	1358	6	1435	67	18	85	1
6	6	0	1224270	20844	3596105	7904358	222651	216	197	20407	24	0	1	197	11	189	4131	16068	1	1	108	216	20407	6	20629	197	18	215	1
7	7	0	1126667	2238	1861777	9031025	224889	216	220	1778	24	0	1	207	1	81	602	1077	1	1	124	216	1778	6	2000	220	18	238	1
8	8	0	1369741	33834	4528638	10400766	258723	503	457	32850	24	0	1	433	62	452	8109	24269	1	1	280	503	32850	6	33359	457	18	475	1
9	9	0	1168350	5974	2553302	11569116	264697	233	133	5584	24	0	1	134	91	110	1275	4181	1	1	65	233	5584	6	5823	133	18	151	1
10	10	0	214310	2819	991933	11783426	267516	537	91	2167	24	0	1	140	388	116	987	1046	1	1	41	537	2167	6	2710	91	18	109	1
11	11	0	858997	5559	2006726	12642423	273075	2193	128	3214	24	0	1	221	1963	119	2066	1011	1	1	63	2193	3214	6	5413	128	18	146	1
12	12	0	221150	1520	689465	12863573	274595	511	27	958	24	0	1	22	481	95	150	695	1	1	9	511	958	6	1475	27	18	45	1
13	13	0	919338	4317	1955517	13782911	278912	2241	101	1951	24	0	1	181	2051	151	611	1170	1	1	48	2241	1951	6	4198	101	18	119	1
14	14	0	1813167	143376	12142056	15596078	422288	3583	1432	138337	24	0	1	1654	1920	797	33434	104085	1	1	897	3583	138337	6	141926	1432	18	1450	1
15	15	0	1343775	5278	2624621	16939853	427566	3426	63	1765	24	0	1	112	3306	83	424	1240	1	1	27	3426	1765	6	5197	63	18	81	1
16	16	0	840989	3512	1594989	17780842	431078	2446	23	1019	24	0	1	28	2410	76	162	763	1	1	7	2446	1019	6	3471	23	18	41	1
17	17	0	1361166	21550	3448546	19142008	452628	3351	286	17889	24	0	1	370	2972	368	4036	13466	1	1	158	3351	17889	6	21246	286	18	304	1
18	18	0	1065261	3172	1788978	20207269	455800	2452	45	651	24	0	1	67	2377	102	190	341	1	1	18	2452	651	6	3109	45	18	63	1
19	19	0	1155706	19334	3935843	21362975	475134	3000	204	16106	24	0	1	283	2708	118	4680	11290	1	1	112	3000	16106	6	19112	204	18	222	1
20	20	0	1254613	6248	2201945	22617588	481382	3158	105	2961	24	0	1	144	3005	249	701	1992	1	1	52	3158	2961	6	6125	105	18	123	1
21	21	0	2156053	71964	9916690	24773641	553346	4989	763	66188	24	0	1	1056	3924	620	18833	46714	1	1	486	4989	66188	6	71183	763	18	781	1
22	22	0	630003	2073	1504139	25403644	555419	1630	31	388	24	0	1	51	1571	85	105	181	1	1	11	1630	388	6	2024	31	18	49	1
23	23	0	1446429	6063	2655672	26850073	561482	3262	59	2718	24	0	1	107	3147	74	489	2137	1	1	25	3262	2718	6	5986	59	18	77	1
24	24	0	1543572	4737	2016816	28393645	566219	3443	31	1239	24	0	1	50	3385	69	216	936	1	1	11	3443	1239	6	4688	31	18	49	1
25	25	0	210007	991	543686	28603652	567210	465	25	477	24	0	1	30	427	65	111	284	1	1	8	465	477	6	948	25	18	43	1
26	26	0	1341834	6464	2887260	29945486	573674	3395	43	3002	24	0	1	68	3319	68	1011	1905	1	1	17	3395	3002	6	6403	43	18	61	1
27	27	0	11192	698	422057	29956678	574372	26	19	629	24	0	1	18	1	66	104	442	1	1	5	26	629	6	661	19	18	37	1
28	28	0	746326	1131	1630938	30703004	575503	302	43	762	24	0	1	60	234	84	217	443	1	1	17	302	762	6	1070	43	18	61	1
