logical	physical	worker	raw	wire	latency_ns	cumulative_raw	cumulative_wire	b_root	b_need	b_fill	b_control	b_carry	split_ok	c_root	c_block	c_path	c_region_control	c_raw_run	c_array_control	c_array_values	missing_regions	cf_root	cf_fill	cf_control	cf_total	fc_need	fc_control	fc_total	dir_ok
0	0	0	839260	146049	23469747	839260	146049	2378	2317	141304	24	26	1	2352	18	1746	33522	106017	1	1	1420	2378	141304	6	143688	2317	18	2335	1
1	1	0	5434195	725289	46653656	6273455	871338	9843	7323	708099	24	0	1	7476	2358	6468	133485	567984	46	97	4122	9843	708099	6	717948	7323	18	7341	1
2	2	0	5434195	10299	3962802	11707650	881637	10247	9	19	24	0	1	2	10237	1	1	1	1	1	0	10247	19	6	10272	9	18	27	1
3	3	0	4094994	35351	5795869	15802644	916988	9386	349	25592	24	0	1	656	8721	254	12212	13107	1	1	199	9386	25592	6	34984	349	18	367	1
4	4	0	4089591	9303	3986903	19892235	926291	8941	19	319	24	0	1	18	8915	83	81	138	1	1	5	8941	319	6	9266	19	18	37	1
5	5	0	3444471	32853	5343903	23336706	959144	7177	375	25277	24	0	1	664	6504	337	9652	15269	1	1	217	7177	25277	6	32460	375	18	393	1
6	6	0	3790236	36197	5941619	27126942	995341	7616	254	28303	24	0	1	347	7260	437	7605	20241	1	1	134	7616	28303	6	35925	254	18	272	1
7	7	0	4336012	95062	10518197	31462954	1090403	8893	968	85177	24	0	1	1187	7697	871	18609	65676	1	1	612	8893	85177	6	94076	968	18	986	1
8	8	0	3546232	17032	4678917	35009186	1107435	7324	131	9553	24	0	1	220	7095	259	1761	7514	1	1	68	7324	9553	6	16883	131	18	149	1
9	9	0	3274307	9675	4492679	38283493	1117110	6827	81	2743	24	0	1	90	6729	220	718	1786	1	1	36	6827	2743	6	9576	81	18	99	1
10	10	0	3879853	941	4776297	42163346	1118051	36	31	850	24	0	1	28	1	117	200	515	1	1	11	36	850	6	892	31	18	49	1
11	11	0	4098549	25318	6089148	46261895	1143369	166	113	25015	24	0	1	146	12	201	1814	22980	1	1	58	166	25015	6	25187	113	18	131	1
12	12	0	3449557	13824	5128525	49711452	1157193	7182	133	6485	24	0	1	270	6903	128	2213	4125	1	1	65	7182	6485	6	13673	133	18	151	1
13	13	0	3879853	8988	4494979	53591305	1166181	8936	9	19	24	0	1	3	8925	1	1	1	1	1	0	8936	19	6	8961	9	18	27	1
14	14	0	4098549	9117	4232250	57689854	1175298	9065	9	19	24	0	1	3	9054	1	1	1	1	1	0	9065	19	6	9090	9	18	27	1
15	15	0	3449557	7097	4327520	61139411	1182395	7045	9	19	24	0	1	3	7034	1	1	1	1	1	0	7045	19	6	7070	9	18	27	1
16	16	0	3400600	5941	4541109	64540011	1188336	1280	77	4560	24	0	1	93	1179	202	1066	3273	1	1	34	1280	4560	6	5846	77	18	95	1
17	17	0	3320861	1934	4090372	67860872	1190270	53	27	1830	24	0	1	28	18	117	373	1322	1	1	9	53	1830	6	1889	27	18	45	1
18	18	0	3210935	2145	4454719	71071807	1192415	77	33	2011	24	0	1	40	30	124	387	1482	1	1	12	77	2011	6	2094	33	18	51	1
19	19	0	3863336	32319	7655177	74935143	1224734	935	281	31079	24	0	1	355	571	311	8494	22254	1	1	155	935	31079	6	32020	281	18	299	1
20	20	0	4164315	56716	9843562	79099458	1281450	2087	602	54003	24	0	1	765	1313	1172	11252	41503	51	7	384	2087	54003	6	56096	602	18	620	1
21	21	0	3207457	1774	4142661	82306915	1283224	48	43	1659	24	0	1	40	1	117	486	1038	1	1	17	48	1659	6	1713	43	18	61	1
22	22	0	4213723	18279	7029771	86520638	1301503	2644	165	15446	24	0	1	281	2354	384	3148	11895	1	1	89	2644	15446	6	18096	165	18	183	1
23	23	0	4090556	43215	9016487	90611194	1344718	1472	349	41370	24	0	1	446	1017	590	7802	32958	1	1	192	1472	41370	6	42848	349	18	367	1
24	24	0	3445172	8992	5205554	94056366	1353710	315	132	8521	24	0	1	184	123	247	1848	6407	1	1	69	315	8521	6	8842	132	18	150	1
25	25	0	3612425	23820	6847273	97668791	1377530	6808	168	16820	24	0	1	311	6488	115	8248	8439	1	1	84	6808	16820	6	23634	168	18	186	1
26	26	0	3327247	2237	3905173	100996038	1379767	36	27	2150	24	0	1	28	1	122	654	1356	1	1	9	36	2150	6	2192	27	18	45	1
27	27	0	3674163	3679	4278931	104670201	1383446	861	61	2733	24	0	1	78	775	153	676	1885	1	1	26	861	2733	6	3600	61	18	79	1
28	28	0	3616621	34906	7931575	108286822	1418352	729	379	33774	24	0	1	449	271	513	7282	25959	1	1	216	729	33774	6	34509	379	18	397	1
29	29	0	3479243	10880	5153204	111766065	1429232	6950	63	3843	24	0	1	107	6835	178	809	2837	1	1	27	6950	3843	6	10799	63	18	81	1
30	30	0	3395484	3659	4595468	115161549	1432891	469	77	3089	24	0	1	114	347	196	712	2162	1	1	34	469	3089	6	3564	77	18	95	1
31	31	0	1859816	14684	3550805	117021365	1447575	4107	37	10516	24	0	1	54	4045	115	1229	9154	1	1	14	4107	10516	6	14629	37	18	55	1
32	32	0	1698503	9092	3665664	118719868	1456667	3863	127	5078	24	0	1	203	3651	103	1545	3412	1	1	64	3863	5078	6	8947	127	18	145	1
