logical	physical	worker	raw	wire	latency_ns	cumulative_raw	cumulative_wire	b_root	b_need	b_fill	b_control	b_carry	split_ok	c_root	c_block	c_path	c_region_control	c_raw_run	c_array_control	c_array_values	missing_regions	cf_root	cf_fill	cf_control	cf_total	fc_need	fc_control	fc_total	dir_ok
0	0	0	1836	743	12188040	1836	743	20	20	653	24	26	1	12	1	77	110	451	1	1	11	20	653	6	679	20	18	38	1
1	1	0	3726840	660247	45442539	3728676	660990	8499	8210	643514	24	0	1	8411	80	4023	131996	507476	1	1	4563	8499	643514	6	652019	8210	18	8228	1
2	2	0	3341805	15046	4147103	7070481	676036	8469	133	6420	24	0	1	177	8283	135	1553	4713	1	1	65	8469	6420	6	14895	133	18	151	1
3	3	0	3871485	69671	10292521	10941966	745707	4457	389	64801	24	0	1	454	3994	231	10454	54096	1	1	235	4457	64801	6	69264	389	18	407	1
4	4	0	2894389	12656	3472327	13836355	758363	7060	275	5297	24	0	1	529	6522	108	3515	1656	1	1	145	7060	5297	6	12363	275	18	293	1
5	5	0	3910918	11516	4565500	17747273	769879	4320	141	7031	24	0	1	241	4070	156	2437	4419	1	1	73	4320	7031	6	11357	141	18	159	1
6	6	0	3977380	29744	4773678	21724653	799623	9104	323	20293	24	0	1	479	8616	207	3929	16138	1	1	178	9104	20293	6	29403	323	18	341	1
7	7	0	4423246	63890	8491254	26147899	863513	6786	500	56580	24	0	1	654	6123	373	9046	47141	1	1	316	6786	56580	6	63372	500	18	518	1
8	8	0	3224620	69294	7202392	29372519	932807	7736	632	60902	24	0	1	707	7020	406	12981	47495	1	1	397	7736	60902	6	68644	632	18	650	1
9	9	0	3022248	30750	4819538	32394767	963557	7176	333	23217	24	0	1	379	6788	161	6020	17016	1	1	185	7176	23217	6	30399	333	18	351	1
10	10	0	3755417	23393	4450040	36150184	986950	9040	305	14024	24	0	1	397	8634	149	4002	9854	1	1	171	9040	14024	6	23070	305	18	323	1
11	11	0	3423516	10031	3974604	39573700	996981	3327	151	6529	24	0	1	244	3074	115	1605	4791	1	1	77	3327	6529	6	9862	151	18	169	1
12	12	0	3591597	19104	4997937	43165297	1016085	3892	194	14994	24	0	1	281	3602	209	2785	11981	1	1	111	3892	14994	6	18892	194	18	212	1
13	13	0	3547473	6618	3989913	46712770	1022703	3142	47	3405	24	0	1	80	3054	110	508	2769	1	1	19	3142	3405	6	6553	47	18	65	1
14	14	0	3893927	8147	4725959	50606697	1030850	4786	61	3276	24	0	1	86	4692	84	664	2510	1	1	26	4786	3276	6	8068	61	18	79	1
15	15	0	3770999	21069	5543953	54377696	1051919	8486	284	12275	24	0	1	357	8120	134	2911	9211	1	1	149	8486	12275	6	20767	284	18	302	1
16	16	0	3608859	45743	5825702	57986555	1097662	8425	501	36793	24	0	1	546	7870	313	9544	26916	1	1	317	8425	36793	6	45224	501	18	519	1
17	17	0	2807366	2219	3575086	60793921	1099881	1518	31	646	24	0	1	44	1466	101	143	384	1	1	11	1518	646	6	2170	31	18	49	1
18	18	0	3437381	22913	6185689	64231302	1122794	2870	350	19669	24	0	1	395	2466	191	4425	15034	1	1	201	2870	19669	6	22545	350	18	368	1
