logical	physical	worker	raw	wire	latency_ns	cumulative_raw	cumulative_wire	b_root	b_need	b_fill	b_control	b_carry	split_ok	c_root	c_block	c_path	c_region_control	c_raw_run	c_array_control	c_array_values	missing_regions	cf_root	cf_fill	cf_control	cf_total	fc_need	fc_control	fc_total	dir_ok
0	0	0	2364113	439796	55972527	2364113	439796	4323	4198	431225	24	26	1	4277	38	2966	70078	358162	1	1	2468	4323	431225	6	435554	4198	18	4216	1
1	1	0	2525815	103390	9931675	4889928	543186	4619	520	98227	24	0	1	577	4033	626	12819	84762	1	1	331	4619	98227	6	102852	520	18	538	1
2	2	0	2749866	66597	5812063	7639794	609783	4894	196	61483	24	0	1	271	4614	209	9123	52131	1	1	110	4894	61483	6	66383	196	18	214	1
3	3	0	2156755	17591	3296048	9796549	627374	4147	103	13317	24	0	1	126	4013	42	1664	11593	1	1	47	4147	13317	6	17470	103	18	121	1
4	4	0	2024712	8268	2925111	11821261	635642	4090	45	4109	24	0	1	56	4026	46	1009	3036	1	1	18	4090	4109	6	8205	45	18	63	1
5	5	0	1957958	22506	4403891	13779219	658148	4644	713	17125	24	0	1	767	3868	621	5065	11420	1	1	462	4644	17125	6	21775	713	18	731	1
6	6	0	2091912	10186	3493888	15871131	668334	4172	37	5953	24	0	1	46	4118	59	326	5550	1	1	14	4172	5953	6	10131	37	18	55	1
7	7	0	2172271	7380	3261628	18043402	675714	4251	39	3066	24	0	1	46	4197	61	834	2153	1	1	15	4251	3066	6	7323	39	18	57	1
8	8	0	2023269	5458	2616052	20066671	681172	4133	29	1272	24	0	1	31	4094	52	223	979	1	1	10	4133	1272	6	5411	29	18	47	1
9	9	0	2164713	8808	3192600	22231384	689980	4141	45	4598	24	0	1	61	4072	71	1052	3457	1	1	18	4141	4598	6	8745	45	18	63	1
10	10	0	2197076	5518	2923461	24428460	695498	254	57	5183	24	0	1	68	178	98	1159	3908	1	1	24	254	5183	6	5443	57	18	75	1
11	11	0	2032919	5071	2973590	26461379	700569	4039	29	979	24	0	1	32	3999	54	205	702	1	1	10	4039	979	6	5024	29	18	47	1
12	12	0	2070861	4506	2835632	28532240	705075	239	47	4196	24	0	1	59	172	46	731	3401	1	1	19	239	4196	6	4441	47	18	65	1
13	13	0	2642429	31725	4274312	31174669	736800	4452	97	27152	24	0	1	126	4318	109	2403	24621	1	1	44	4452	27152	6	31610	97	18	115	1
14	14	0	2078480	11665	2970261	33253149	748465	128	81	11432	24	0	1	84	37	144	1080	10189	1	1	36	128	11432	6	11566	81	18	99	1
15	15	0	2017151	6973	3299928	35270300	755438	4105	29	2815	24	0	1	38	4059	47	2110	640	1	1	10	4105	2815	6	6926	29	18	47	1
16	16	0	1186096	3262	3012561	36456396	758700	374	29	2835	24	0	1	30	336	35	1433	1349	1	1	10	374	2835	6	3215	29	18	47	1
17	17	0	804563	2527	1787009	37260959	761227	1592	27	884	24	0	1	26	1558	40	317	509	1	1	9	1592	884	6	2482	27	18	45	1
18	18	0	2278690	18837	3926794	39539649	780064	3838	85	14890	24	0	1	102	3728	94	1372	13406	1	1	38	3838	14890	6	18734	85	18	103	1
19	19	0	3728430	159696	14843504	43268079	939760	4994	389	154289	24	0	1	480	4505	690	16608	136970	1	1	231	4994	154289	6	159289	389	18	407	1
