logical	physical	worker	raw	wire	latency_ns	cumulative_raw	cumulative_wire	b_root	b_need	b_fill	b_control	b_carry	split_ok	c_root	c_block	c_path	c_region_control	c_raw_run	c_array_control	c_array_values	missing_regions	cf_root	cf_fill	cf_control	cf_total	fc_need	fc_control	fc_total	dir_ok
0	0	0	1111313	192116	15448392	1111313	192116	2981	2882	186203	24	26	1	2935	38	2417	42375	141392	1	1	1749	2981	186203	6	189190	2882	18	2900	1
1	1	1	1104640	192021	17816796	2215953	384137	2898	2821	186252	24	26	1	23	2867	2428	43298	140506	1	1	1713	2898	186252	6	189156	2821	18	2839	1
2	2	2	1111427	192678	16462515	3327380	576815	2970	2892	186766	24	26	1	95	2867	2433	43459	140854	1	1	1749	2970	186766	6	189742	2892	18	2910	1
3	3	3	1123736	193425	16893052	4451116	770240	3051	2994	187330	24	26	1	175	2867	2455	43673	141182	1	1	1803	3051	187330	6	190387	2994	18	3012	1
4	4	4	1119581	193322	14449129	5570697	963562	3047	2993	187232	24	26	1	171	2867	2473	43704	141035	1	1	1797	3047	187232	6	190285	2993	18	3011	1
5	5	5	1109391	192925	20371388	6680088	1156487	2938	2863	187074	24	26	1	63	2867	2490	43438	141126	1	1	1732	2938	187074	6	190018	2863	18	2881	1
6	6	6	1224270	212042	17109531	7904358	1368529	3082	3017	205893	24	26	1	197	2876	2570	47369	155934	1	1	1811	3082	205893	6	208981	3017	18	3035	1
7	7	7	1126667	194063	21743289	9031025	1562592	3083	3051	187879	24	26	1	207	2867	2598	44096	141165	1	1	1827	3083	187879	6	190968	3051	18	3069	1
8	8	8	1369741	236266	24948586	10400766	1798858	3373	3396	229447	24	26	1	433	2931	2902	53765	172760	1	1	2010	3373	229447	6	232826	3396	18	3414	1
9	9	9	1168350	203052	21697619	11569116	2001910	3105	3025	196872	24	26	1	134	2962	2925	46569	147358	1	1	1811	3105	196872	6	199983	3025	18	3043	1
10	10	10	214310	37674	5528781	11783426	2039584	544	450	36630	24	26	1	140	395	2970	6942	26699	1	1	251	544	36630	6	37180	450	18	468	1
11	11	11	858997	147674	14690507	12642423	2187258	2197	2006	143421	24	26	1	221	1967	3015	33720	106666	1	1	1217	2197	143421	6	145624	2006	18	2024	1
12	12	12	221150	39211	6430185	12863573	2226469	515	494	38152	24	26	1	22	485	3035	7479	27619	1	1	272	515	38152	6	38673	494	18	512	1
13	13	13	919338	163084	18071234	13782911	2389553	2645	2447	157942	24	26	1	181	2455	3097	37507	117318	1	1	1471	2645	157942	6	160593	2447	18	2465	1
14	14	14	1813167	291953	30428638	15596078	2681506	3677	3487	284739	24	26	1	1654	2014	3763	67149	213807	1	1	2032	3677	284739	6	288422	3487	18	3505	1
15	15	15	1343775	232369	25274693	16939853	2913875	3554	3297	225468	24	26	1	112	3434	3783	52799	168866	1	1	1939	3554	225468	6	229028	3297	18	3315	1
16	16	16	840989	152970	17259289	17780842	3066845	2451	2378	148091	24	26	1	28	2415	3790	36082	108199	1	1	1445	2451	148091	6	150548	2378	18	2396	1
17	17	17	1361166	242400	25989619	19142008	3309245	3527	3276	235547	24	26	1	370	3148	3990	57483	174054	1	1	1920	3527	235547	6	239080	3276	18	3294	1
18	18	18	1065261	185681	15498062	20207269	3494926	2509	2385	180737	24	26	1	67	2434	4024	43819	132874	1	1	1417	2509	180737	6	183252	2385	18	2403	1
19	19	19	1155706	208594	22176755	21362975	3703520	3068	2872	202604	24	26	1	283	2776	4070	49462	149052	1	1	1720	3068	202604	6	205678	2872	18	2890	1
20	20	20	1254613	224551	20802035	22617588	3928071	3174	3051	218276	24	26	1	144	3021	4215	53837	160204	1	1	1800	3174	218276	6	221456	3051	18	3069	1
21	21	21	2156053	377706	34528979	24773641	4305777	5130	4738	367788	24	26	1	1056	4065	4605	90196	272967	1	1	2702	5130	367788	6	372924	4738	18	4756	1
22	22	22	630003	112521	12960919	25403644	4418298	1831	1734	108906	24	26	1	51	1772	4628	26569	77689	1	1	1054	1831	108906	6	110743	1734	18	1752	1
23	23	23	1446429	258607	26075358	26850073	4676905	3452	3272	251833	24	26	1	107	3337	4641	63644	183528	1	1	1917	3452	251833	6	255291	3272	18	3290	1
