run	prefix_tus	test_tus	prefix_cum_wire	total_cum_wire	test_wire	exact_all	exact_test
x44_range-v3_debian_cold	0	537	0	840585	840585	True	True
x44_range-v3_debian_warmsame	560	537	841749	868839	27090	True	True
x44_range-v3_debian_from_brew	672	537	898787	1519072	620285	True	True
x44_range-v3_debian_from_conan	560	537	854639	1457291	602652	True	True
x44_re2_conan_cold	0	72	0	462569	462569	True	True
x44_re2_conan_warmsame	112	72	464449	466165	1716	True	True
x44_re2_conan_from_debian	112	72	455268	769328	314060	True	True
x44_re2_conan_from_brew	112	72	436229	768865	332636	True	True
x44_re2_conan_from_fedora	112	72	502708	907078	404370	True	True
x44_re2_fedora_cold	0	72	0	500795	500795	True	True
x44_re2_fedora_warmsame	112	72	502680	504396	1716	True	True
x44_re2_fedora_from_debian	112	72	455227	894771	439544	True	True
x44_re2_debian_cold	0	72	0	453398	453398	True	True
x44_re2_debian_warmsame	112	72	455278	456994	1716	True	True
x44_re2_debian_from_brew	112	72	436215	746541	310326	True	True
x44_re2_debian_from_conan	112	72	464448	770052	305604	True	True
x44_rocksdb_conan_cold	0	418	0	2555954	2555954	True	True
x44_rocksdb_conan_warmsame	448	418	2557521	2578491	20970	True	True
x44_rocksdb_conan_from_debian	448	418	2471369	4166417	1695048	True	True
x44_rocksdb_conan_from_brew	448	418	2280067	4166799	1886732	True	True
x44_rocksdb_conan_from_fedora	448	418	2283064	4336692	2053628	True	True
x44_rocksdb_fedora_cold	0	418	0	2281173	2281173	True	True
x44_rocksdb_fedora_warmsame	448	418	2282742	2303818	21076	True	True
x44_rocksdb_fedora_from_debian	448	418	2471362	4220306	1748944	True	True
x44_rocksdb_debian_cold	0	418	0	2469686	2469686	True	True
x44_rocksdb_debian_warmsame	448	418	2471253	2492223	20970	True	True
x44_rocksdb_debian_from_brew	448	418	2280125	4061409	1781284	True	True
x44_rocksdb_debian_from_conan	448	418	2557543	4169646	1612103	True	True
x44_spdlog_conan_cold	0	168	0	714320	714320	True	True
x44_spdlog_conan_warmsame	224	168	717059	723739	6680	True	True
x44_spdlog_conan_from_debian	224	168	706026	1047167	341141	True	True
x44_spdlog_conan_from_brew	224	168	700806	1105855	405049	True	True
x44_spdlog_conan_from_fedora	224	168	777751	1299710	521959	True	True
x44_spdlog_fedora_cold	0	168	0	773914	773914	True	True
x44_spdlog_fedora_warmsame	224	168	776709	783554	6845	True	True
x44_spdlog_fedora_from_debian	224	168	706021	1282233	576212	True	True
x44_spdlog_debian_cold	0	168	0	701952	701952	True	True
x44_spdlog_debian_warmsame	224	168	704690	711370	6680	True	True
x44_spdlog_debian_from_brew	224	168	700850	1074284	373434	True	True
x44_spdlog_debian_from_conan	224	168	718465	1048535	330070	True	True
x44_abseil_conan_cold	0	159	0	1062079	1062079	True	True
x44_abseil_conan_warmsame	224	159	1065429	1071311	5882	True	True
x44_abseil_conan_from_debian	224	159	1048318	1739601	691283	True	True
x44_abseil_conan_from_brew	224	159	1016046	1767978	751932	True	True
x44_abseil_conan_from_fedora	224	159	1029577	1917551	887974	True	True
x44_abseil_fedora_cold	0	159	0	1026214	1026214	True	True
x44_abseil_fedora_warmsame	224	159	1029638	1035680	6042	True	True
x44_abseil_fedora_from_debian	224	159	1048300	1888159	839859	True	True
x44_abseil_debian_cold	0	159	0	1042395	1042395	True	True
x44_abseil_debian_warmsame	224	159	1045744	1051626	5882	True	True
x44_abseil_debian_from_brew	224	159	1016016	1732109	716093	True	True
x44_abseil_debian_from_conan	224	159	1068161	1740382	672221	True	True
