tu	pass	raw	cumulative_raw	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	grz2_group_closes
0	1	494578	494578	344583	NA	85875	55137	NA	0
1	1	845811	1340389	407399	NA	257911	188974	NA	0
2	1	1751143	3091532	411014	NA	401222	343671	NA	0
3	1	791690	3883222	414989	NA	448796	468999	NA	0
4	1	884345	4767567	417103	NA	496050	601713	NA	0
5	1	1449091	6216658	463899	NA	667249	816162	NA	0
6	1	1723695	7940353	495062	NA	822725	1074960	NA	0
7	1	1100827	9041180	497668	NA	880950	1244986	NA	0
8	1	2675512	11716692	502539	NA	1061572	1539152	NA	0
9	1	1035401	12752093	503231	NA	1109182	1690854	NA	0
10	1	1021525	13773618	503696	NA	1158870	1848525	NA	0
11	1	997678	14771296	505616	NA	1208254	2002776	NA	0
12	1	1321045	16092341	506145	NA	1271086	2198027	NA	0
13	1	1292202	17384543	506500	NA	1332572	2388433	NA	0
14	1	1390608	18775151	508937	NA	1405285	2594900	NA	0
15	1	819848	19594999	509189	NA	1445079	2724294	NA	0
16	1	1384001	20979000	510452	NA	1511567	2925264	NA	0
17	1	767997	21746997	510959	NA	1548877	3046310	NA	0
18	1	1518761	23265758	513702	NA	1628521	3270056	NA	0
19	1	511748	23777506	514528	NA	1654328	3351552	NA	0
20	1	978779	24756285	515097	NA	1702169	3503613	NA	0
21	1	819938	25576223	515362	NA	1741746	3633000	NA	0
22	1	1740172	27316395	523212	NA	1844622	3894167	NA	0
23	1	1234788	28551183	523556	NA	1902239	4075653	NA	0
24	1	1735534	30286717	526176	NA	1991413	4335369	NA	0
25	1	1228855	31515572	526703	NA	2049307	4515952	NA	0
26	1	1748844	33264416	530434	NA	2141548	4777315	NA	0
27	1	1246903	34511319	531082	NA	2200733	4959764	NA	0
28	1	1758188	36269507	534609	NA	2290680	5222628	NA	0
29	1	1246019	37515526	535330	NA	2349239	5405034	NA	0
30	1	818593	38334119	535545	NA	2388583	5534192	NA	0
31	1	2475720	40809839	558118	NA	2538947	5844521	NA	0
32	1	1036589	41846428	558409	NA	2586462	5996707	NA	0
33	1	1152659	42999087	559093	NA	2642004	6167037	NA	0
34	1	1090368	44089455	560202	NA	2696605	6330280	NA	0
35	1	818406	44907861	560426	NA	2735943	6459417	NA	0
36	1	920577	45828438	560739	NA	2781405	6605839	NA	0
37	1	973163	46801601	561141	NA	2828382	6757249	NA	0
38	1	18591	46820192	561542	NA	2829641	6760454	NA	0
39	1	1221464	48041656	561841	NA	2886806	6940692	NA	0
40	1	1553419	49595075	562363	NA	2962754	7173980	NA	0
41	1	1785383	51380458	564649	NA	3053017	7441954	NA	0
42	1	971347	52351805	566030	NA	3106168	7595850	NA	0
43	1	1711736	54063541	568153	NA	3190818	7851893	NA	0
44	1	1295904	55359445	568896	NA	3253105	8043292	NA	0
45	1	1401857	56761302	570061	NA	3318105	8250363	NA	0
46	1	818382	57579684	570274	NA	3357404	8379473	NA	0
47	1	798470	58378154	570530	NA	3396076	8505623	NA	0
48	1	821438	59199592	570807	NA	3435961	8635197	NA	0
49	1	796101	59995693	571201	NA	3475212	8761202	NA	0
50	1	819695	60815388	571445	NA	3514768	8890532	NA	0
51	1	1215602	62030990	571923	NA	3572186	9069628	NA	0
52	1	1325028	63356018	572362	NA	3635083	9264776	NA	0
53	1	1481954	64837972	574149	NA	3710336	9481995	NA	0
54	1	1814844	66652816	575767	NA	3799690	9754196	NA	0
55	1	1763098	68415914	576815	NA	3885605	10019044	NA	0
56	1	1128056	69543970	577582	NA	3942770	10194899	NA	0
57	1	848462	70392432	578017	NA	3984397	10328540	NA	0
58	1	1726509	72118941	580465	NA	4068601	10587482	NA	0
59	1	1228173	73347114	580760	NA	4125912	10768016	NA	0
60	1	1192278	74539392	580996	NA	4180874	10943041	NA	0
61	1	535642	75075034	581263	NA	4204813	11024625	NA	0
62	1	1426519	76501553	582510	NA	4273774	11233963	NA	0
63	1	821632	77323185	582783	NA	4313698	11363663	NA	0
64	1	844133	78167318	583158	NA	4353631	11494078	NA	0
65	1	1599103	79766421	584189	NA	4431326	11730286	NA	0
66	1	819916	80586337	584445	NA	4470930	11859637	NA	0
67	1	221506	80807843	584998	NA	4477962	11884260	NA	0
68	1	1923640	82731483	586859	NA	4574690	12172839	NA	0
69	1	1438503	84169986	587641	NA	4646838	12386812	NA	0
70	1	1068156	85238142	588099	NA	4695521	12541077	NA	0
71	1	25969	85264111	588453	NA	4697164	12544845	NA	0
72	1	2087603	87351714	592622	NA	4803276	12850802	NA	0
73	1	1581978	88933692	592880	NA	4879307	13086113	NA	0
74	1	858809	89792501	593466	NA	4922232	13221956	NA	0
75	1	819104	90611605	593725	NA	4961860	13351221	NA	0
76	1	920991	91532596	594017	NA	5007370	13497732	NA	0
77	1	163384	91695980	594498	NA	5013418	13516873	NA	0
78	1	876929	92572909	595003	NA	5056904	13655255	NA	0
