tu	pass	raw	cumulative_raw	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	grz2_group_closes
88	2	2291136	243226121	924797	NA	11925268	37648413	NA	0
89	2	2148194	245374315	924812	NA	12021230	37994921	NA	0
90	2	3659517	249033832	924864	NA	12188184	38556761	NA	0
91	2	3051811	252085643	924879	NA	12326936	39040883	NA	0
92	2	2291136	254376779	924894	NA	12432489	39396498	NA	0
93	2	1555026	255931805	924909	NA	12504050	39641239	NA	0
94	2	3130877	259062682	924924	NA	12646259	40149310	NA	0
95	2	2217916	261280598	924939	NA	12745032	40506044	NA	0
96	2	2291136	263571734	924954	NA	12850585	40861659	NA	0
97	2	3256665	266828399	925006	NA	12997808	41391208	NA	0
98	2	2148194	268976593	925021	NA	13093770	41737716	NA	0
99	2	3723571	272700164	925073	NA	13262485	42309368	NA	0
100	3	2858123	275558287	925088	NA	13390336	42753747	NA	0
101	3	2383638	277941925	925103	NA	13500409	43128710	NA	0
102	3	3319271	281261196	925118	NA	13641399	43609654	NA	0
103	3	3812613	285073809	925133	NA	13801962	44145898	NA	0
104	3	3163235	288237044	925148	NA	13943471	44640302	NA	0
105	3	3699447	291936491	925163	NA	14112242	45213346	NA	0
106	3	2346757	294283248	925178	NA	14217846	45584064	NA	0
107	3	227618	294510866	925193	NA	14226805	45622811	NA	0
108	3	2122398	296633264	925208	NA	14321018	45964561	NA	0
109	3	1298879	297932143	925223	NA	14377505	46165306	NA	0
110	3	3340714	301272857	925238	NA	14522672	46682029	NA	0
111	3	3130877	304403734	925253	662660	14664881	47190100	NA	1
112	3	3060920	307464654	925268	662660	14804160	47686831	NA	0
113	3	2217916	309682570	925283	662660	14902933	48043565	NA	0
114	3	2291136	311973706	925298	662660	15008486	48399180	NA	0
115	3	2148194	314121900	925313	662660	15104448	48745688	NA	0
116	3	4901797	319023697	925328	662660	15287198	49340225	NA	0
117	3	3311713	322335410	925343	662660	15437701	49866170	NA	0
118	3	3312945	325648355	925358	662660	15580882	50363289	NA	0
119	3	3130877	328779232	925373	662660	15723091	50871360	NA	0
120	3	2928089	331707321	925388	662660	15854425	51339530	NA	0
121	3	2217916	333925237	925403	662660	15953198	51696264	NA	0
122	3	2291136	336216373	925418	662660	16058751	52051879	NA	0
123	3	2148194	338364567	925433	662660	16154713	52398387	NA	0
124	3	3373438	341738005	925448	662660	16301448	52906969	NA	0
125	3	3403824	345141829	925463	662660	16453019	53438953	NA	0
126	3	1376778	346518607	925478	662660	16513935	53651740	NA	0
127	3	3051811	349570418	925493	662660	16652687	54135862	NA	0
128	3	3199257	352769675	925508	662660	16794267	54628494	NA	0
129	3	2122398	354892073	925523	662660	16888480	54970244	NA	0
130	3	2291136	357183209	925538	662660	16994033	55325859	NA	0
131	3	1555026	358738235	925553	662660	17065594	55570600	NA	0
132	3	3827792	362566027	925568	662660	17229668	56127305	NA	0
133	3	2812277	365378304	925583	662660	17357801	56571832	NA	0
134	3	3244042	368622346	925598	662660	17498541	57054292	NA	0
135	3	3130877	371753223	925613	662660	17640750	57562363	NA	0
136	3	3313928	375067151	925628	662660	17788130	58090748	NA	0
137	3	2217916	377285067	925643	662660	17886903	58447482	NA	0
138	3	2291136	379576203	925658	662660	17992456	58803097	NA	0
139	3	2148194	381724397	925673	662660	18088418	59149605	NA	0
140	3	3659517	385383914	925688	662660	18255372	59711445	NA	0
141	3	3051811	388435725	925703	662660	18394124	60195567	NA	0
142	3	2291136	390726861	925718	662660	18499677	60551182	NA	0
143	3	1555026	392281887	925733	662660	18571238	60795923	NA	0
144	3	3130877	395412764	925748	662660	18713447	61303994	NA	0
145	3	2217916	397630680	925763	662660	18812220	61660728	NA	0
146	3	2291136	399921816	925778	662660	18917773	62016343	NA	0
147	3	3256665	403178481	925793	662660	19064996	62545892	NA	0
148	3	2148194	405326675	925808	662660	19160958	62892400	NA	0
149	3	3723571	409050246	925823	662660	19329673	63464052	NA	0
150	4	2858123	411908369	925838	662660	19457524	63908431	NA	0
151	4	2383638	414292007	925853	662660	19567597	64283394	NA	0
152	4	3319271	417611278	925868	662660	19708587	64764338	NA	0
153	4	3812613	421423891	925883	662660	19869150	65300582	NA	0
154	4	3163235	424587126	925898	662660	20010659	65794986	NA	0
155	4	3699447	428286573	925913	662660	20179430	66368030	NA	0
156	4	2346757	430633330	925928	662660	20285034	66738748	NA	0
157	4	227618	430860948	925943	662660	20293993	66777495	NA	0
158	4	2122398	432983346	925958	662660	20388206	67119245	NA	0
159	4	1298879	434282225	925973	662660	20444693	67319990	NA	0
160	4	3340714	437622939	925988	662660	20589860	67836713	NA	0
161	4	3130877	440753816	926003	662660	20732069	68344784	NA	0
162	4	3060920	443814736	926018	662660	20871348	68841515	NA	0
163	4	2217916	446032652	926033	662660	20970121	69198249	NA	0
164	4	2291136	448323788	926048	662660	21075674	69553864	NA	0
165	4	2148194	450471982	926063	662660	21171636	69900372	NA	0
