tu	pass	raw	cumulative_raw	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	grz2_group_closes
0	1	125119	125119	305456	NA	28086	18172	NA	0
1	1	3266035	3391154	537655	NA	698543	480138	NA	0
2	1	3270177	6661331	544962	NA	833754	942799	NA	0
3	1	3321547	9982878	545697	NA	970449	1414357	NA	0
4	1	3109632	13092510	574609	NA	1124662	1860256	NA	0
5	1	2532303	15624813	602693	NA	1311888	2239791	NA	0
6	1	2127942	17752755	632028	NA	1470295	2571325	NA	0
7	1	2128191	19880946	632436	NA	1570839	2902847	NA	0
8	1	2128182	22009128	632805	NA	1671381	3234376	NA	0
9	1	2799214	24808342	685575	NA	1792683	3627664	NA	0
10	1	2794208	27602550	687704	NA	1908068	4019564	NA	0
11	1	2786191	30388741	688298	NA	2024312	4412034	NA	0
12	1	2739296	33128037	702011	NA	2138084	4800914	NA	0
13	1	2848090	35976127	702746	NA	2256249	5201196	NA	0
14	1	3355705	39331832	709567	NA	2417109	5631103	NA	0
15	1	2958394	42290226	712302	NA	2548069	6041586	NA	0
16	1	2776567	45066793	712538	NA	2661126	6432055	NA	0
17	1	2826870	47893663	712984	NA	2776064	6824467	NA	0
18	1	3231048	51124711	718759	NA	2925286	7250292	NA	0
19	1	2815487	53940198	719416	NA	3040033	7642362	NA	0
20	1	2823107	56763305	720177	NA	3155028	8034746	NA	0
21	1	2803658	59566963	720520	NA	3270458	8426781	NA	0
22	1	3192286	62759249	730993	NA	3422514	8845701	NA	0
23	1	3172511	65931760	740030	NA	3560007	9254316	NA	0
24	1	2808060	68739820	740992	NA	3676740	9647285	NA	0
25	1	3975449	72715269	857349	NA	3955011	10215201	NA	0
26	1	2815695	75530964	858891	NA	4069059	10608691	NA	0
27	1	3984092	79515056	860324	NA	4240250	11177188	NA	0
28	1	2781125	82296181	860652	NA	4353987	11568069	NA	0
29	1	3170175	85466356	867473	NA	4496152	12000961	NA	0
30	1	2779198	88245554	867790	NA	4609612	12391644	NA	0
31	1	2803816	91049370	868306	NA	4725879	12787312	NA	0
32	1	3148878	94198248	872092	NA	4867441	13213402	NA	0
33	1	3226346	97424594	875193	NA	4993621	13650055	NA	0
34	1	3745209	101169803	878946	NA	5149910	14162173	NA	0
35	1	2832597	104002400	880647	NA	5267764	14559932	NA	0
36	1	2975558	106977958	883701	NA	5397928	14963684	NA	0
37	1	4102823	111080781	885408	NA	5569781	15536675	NA	0
38	1	2784397	113865178	886651	NA	5684410	15929212	NA	0
39	1	2775716	116640894	887123	NA	5797316	16320352	NA	0
40	1	2802169	119443063	888568	NA	5913804	16713814	NA	0
41	1	2755014	122198077	910762	NA	6027234	17101738	NA	0
42	1	2955980	125154057	914583	NA	6152247	17498948	NA	0
43	1	3087189	128241246	919423	NA	6285768	17903148	NA	0
44	1	3161643	131402889	919551	NA	6404499	18317764	NA	0
45	1	3795301	135198190	925345	NA	6559114	18809255	NA	0
46	1	2776051	137974241	925609	NA	6672473	19199921	NA	0
47	1	2792457	140766698	925940	NA	6786269	19592781	NA	0
48	1	2896914	143663612	926476	NA	6906775	19998803	NA	0
49	1	2859384	146522996	927401	NA	7026612	20391829	NA	0
50	1	3411313	149934309	928973	NA	7164146	20866520	NA	0
51	1	3022235	152956544	931610	NA	7291609	21265557	NA	0
52	1	2995739	155952283	936521	NA	7417312	21662844	NA	0
53	1	4150524	160102807	936759	NA	7590147	22234308	NA	0
54	1	2766172	162868979	937815	NA	7702174	22623169	NA	0
55	1	2843327	165712306	938270	NA	7818172	23023186	NA	0
56	1	2942999	168655305	941516	NA	7947407	23429985	NA	0
57	1	2926329	171581634	944064	NA	8075196	23831949	NA	0
58	1	4052705	175634339	944529	NA	8245495	24403240	NA	0
59	1	2768039	178402378	944800	NA	8358092	24793351	NA	0
60	1	2775483	181177861	945227	NA	8472316	25184498	NA	0
61	1	2534996	183712857	956221	NA	8585786	25564152	NA	0
62	1	2780471	186493328	956511	NA	8699616	25955010	NA	0
63	1	2769453	189262781	956721	NA	8812393	26345117	NA	0
64	1	2904054	192166835	959288	NA	8938584	26742766	NA	0
65	1	3062257	195229092	962670	NA	9072573	27159133	NA	0
66	1	3608016	198837108	963073	NA	9216376	27654971	NA	0
67	1	2771695	201608803	963372	NA	9329454	28045345	NA	0
68	1	2769145	204377948	963656	NA	9442151	28435544	NA	0
69	1	2773554	207151502	963917	NA	9555504	28826152	NA	0
70	1	2808759	209960261	964662	NA	9671344	29218786	NA	0
71	1	3360682	213320943	965439	NA	9807917	29692956	NA	0
72	1	2845097	216166040	965795	NA	9926900	30085427	NA	0
73	1	2959062	219125102	966326	NA	10051142	30505981	NA	0
74	1	2842667	221967769	968234	NA	10165970	30898366	NA	0
75	1	3077646	225045415	974419	NA	10313671	31325865	NA	0
76	1	3663461	228708876	979047	NA	10478162	31841616	NA	0
77	1	2883816	231592692	980760	NA	10612224	32249679	NA	0
78	1	3503264	235095956	983552	NA	10765585	32750955	NA	0
79	1	4118028	239213984	993415	NA	10949626	33347082	NA	0
80	1	2832975	242046959	994270	NA	11068714	33745438	NA	0
81	1	2766251	244813210	994453	NA	11180635	34135066	NA	0
82	1	3914437	248727647	994514	NA	11348539	34697856	NA	0
83	1	2978241	251705888	996580	NA	11484671	35107739	NA	0
84	1	2796585	254502473	997250	NA	11605360	35502674	NA	0
85	1	1166736	255669209	998124	NA	11660999	35682278	NA	0
86	1	3140593	258809802	1002832	NA	11799738	36101067	NA	0
87	1	2771144	261580946	1003050	NA	11912470	36491163	NA	0
88	1	2813766	264394712	1004280	NA	12033880	36887249	NA	0
89	1	2864608	267259320	1005673	NA	12157975	37283502	NA	0
90	1	2875897	270135217	1007267	NA	12279606	37689467	NA	0
91	1	2868218	273003435	1008012	NA	12399047	38093916	NA	0
92	1	2855265	275858700	1008746	NA	12517114	38497916	NA	0
93	1	2855271	278713971	1009362	NA	12634994	38901902	NA	0
94	1	2855265	281569236	1009765	NA	12752931	39305899	NA	0
95	1	2821915	284391151	1010189	NA	12869858	39704871	NA	0
96	1	3972595	288363746	1010844	NA	13041552	40277559	NA	0
97	1	2766851	291130597	1011033	NA	13153757	40667356	NA	0
98	1	2787110	293917707	1011846	NA	13267976	41058777	NA	0
99	2	125119	294042826	1011896	NA	13271909	41076949	NA	0
100	2	3266035	297308861	1011947	NA	13405371	41538915	NA	0
101	2	3270177	300579038	1011998	NA	13539058	42001576	NA	0
102	2	3321547	303900585	1012049	NA	13674945	42473134	NA	0
103	2	3109632	307010217	1012100	NA	13803636	42919033	NA	0
104	2	2532303	309542520	1012151	NA	13915067	43298568	NA	0
105	2	2127942	311670462	1012203	NA	14015033	43630102	NA	0
106	2	2128191	313798653	1012255	NA	14115009	43961624	NA	0
107	2	2128182	315926835	1012307	NA	14214981	44293153	NA	0
108	2	2799214	318726049	1012359	NA	14327278	44686441	NA	0
109	2	2794208	321520257	1012411	NA	14439746	45078341	NA	0
110	2	2786191	324306448	1012463	NA	14552031	45470811	NA	0
111	2	2739296	327045744	1012515	743200	14662933	45859691	NA	1
112	2	2848090	329893834	1012567	743200	14777614	46259973	NA	0
113	2	3355705	333249539	1012619	743200	14899883	46689880	NA	0
114	2	2958394	336207933	1012671	743200	15017606	47100363	NA	0
115	2	2776567	338984500	1012723	743200	15129532	47490832	NA	0
116	2	2826870	341811370	1012775	743200	15241983	47883244	NA	0
117	2	3231048	345042418	1012827	743200	15363488	48309069	NA	0
118	2	2815487	347857905	1012879	743200	15475798	48701139	NA	0
119	2	2823107	350681012	1012931	743200	15588177	49093523	NA	0
120	2	2803658	353484670	1012983	743200	15700361	49485558	NA	0
121	2	3192286	356676956	1013035	743200	15820636	49904478	NA	0
122	2	3172511	359849467	1013087	743200	15937388	50313093	NA	0
123	2	2808060	362657527	1013139	743200	16049803	50706062	NA	0
124	2	3975449	366632976	1013191	743200	16218509	51273978	NA	0
125	2	2815695	369448671	1013243	743200	16331002	51667468	NA	0
126	2	3984092	373432763	1013295	743200	16499818	52235965	NA	0
127	2	2781125	376213888	1013347	743200	16611787	52626846	NA	0
128	2	3170175	379384063	1013399	743200	16736392	53059738	NA	0
129	2	2779198	382163261	1013451	743200	16848358	53450421	NA	0
130	2	2803816	384967077	1013503	743200	16961766	53846089	NA	0
131	2	3148878	388115955	1013555	743200	17084140	54272179	NA	0
132	2	3226346	391342301	1013607	743200	17209911	54708832	NA	0
133	2	3745209	395087510	1013659	743200	17357024	55220950	NA	0
134	2	2832597	397920107	1013711	743200	17471105	55618709	NA	0
135	2	2975558	400895665	1013763	743200	17586606	56022461	NA	0
136	2	4102823	404998488	1013815	743200	17756990	56595452	NA	0
137	2	2784397	407782885	1013867	743200	17869352	56987989	NA	0
138	2	2775716	410558601	1013919	743200	17981497	57379129	NA	0
139	2	2802169	413360770	1013971	743200	18094134	57772591	NA	0
140	2	2755014	416115784	1014023	743200	18205871	58160515	NA	0
141	2	2955980	419071764	1014075	743200	18320105	58557725	NA	0
142	2	3087189	422158953	1014127	743200	18435411	58961925	NA	0
143	2	3161643	425320596	1014179	743200	18554142	59376541	NA	0
144	2	3795301	429115897	1014231	743200	18694894	59868032	NA	0
145	2	2776051	431891948	1014283	743200	18806798	60258698	NA	0
146	2	2792457	434684405	1014335	743200	18919539	60651558	NA	0
147	2	2896914	437581319	1014387	743200	19035786	61057580	NA	0
148	2	2859384	440440703	1014439	743200	19148598	61450606	NA	0
149	2	3411313	443852016	1014491	743200	19285341	61925297	NA	0
150	2	3022235	446874251	1014543	743200	19399989	62324334	NA	0
151	2	2995739	449869990	1014595	743200	19515023	62721621	NA	0
152	2	4150524	454020514	1014647	743200	19686284	63293085	NA	0
153	2	2766172	456786686	1014699	743200	19798003	63681946	NA	0
154	2	2843327	459630013	1014751	743200	19913184	64081963	NA	0
155	2	2942999	462573012	1014803	743200	20029700	64488762	NA	0
156	2	2926329	465499341	1014855	743200	20144519	64890726	NA	0
157	2	4052705	469552046	1014907	743200	20314243	65462017	NA	0
158	2	2768039	472320085	1014959	743200	20426085	65852128	NA	0
159	2	2775483	475095568	1015011	743200	20538098	66243275	NA	0
160	2	2534996	477630564	1015063	743200	20649700	66622929	NA	0
161	2	2780471	480411035	1015115	743200	20761774	67013787	NA	0
162	2	2769453	483180488	1015167	743200	20873615	67403894	NA	0
163	2	2904054	486084542	1015219	743200	20987452	67801543	NA	0
164	2	3062257	489146799	1015271	743200	21106652	68217910	NA	0
165	2	3608016	492754815	1015323	743200	21248915	68713748	NA	0
166	2	2771695	495526510	1015375	743200	21360823	69104122	NA	0
167	2	2769145	498295655	1015427	743200	21472762	69494321	NA	0
168	2	2773554	501069209	1015479	743200	21584686	69884929	NA	0
169	2	2808759	503877968	1015531	743200	21697062	70277563	NA	0
170	2	3360682	507238650	1015583	743200	21833366	70751733	NA	0
171	2	2845097	510083747	1015635	743200	21945877	71144204	NA	0
172	2	2959062	513042809	1015687	743200	22067016	71564758	NA	0
173	2	2842667	515885476	1015739	743200	22179764	71957143	NA	0
174	2	3077646	518963122	1015791	743200	22301786	72384642	NA	0
175	2	3663461	522626583	1015843	743200	22449037	72900393	NA	0
176	2	2883816	525510399	1015895	743200	22565094	73308456	NA	0
177	2	3503264	529013663	1015947	743200	22707911	73809732	NA	0
178	2	4118028	533131691	1015999	743200	22883825	74405859	NA	0
179	2	2832975	535964666	1016051	743200	22997453	74804215	NA	0
180	2	2766251	538730917	1016103	743200	23109245	75193843	NA	0
181	2	3914437	542645354	1016155	743200	23277149	75756633	NA	0
182	2	2978241	545623595	1016207	743200	23394582	76166516	NA	0
183	2	2796585	548420180	1016259	743200	23507382	76561451	NA	0
184	2	1166736	549586916	1016311	743200	23561086	76741055	NA	0
185	2	3140593	552727509	1016363	743200	23680530	77159844	NA	0
186	2	2771144	555498653	1016415	743200	23792397	77549940	NA	0
187	2	2813766	558312419	1016467	743200	23905497	77946026	NA	0
188	2	2864608	561177027	1016519	743200	24017766	78342279	NA	0
189	2	2875897	564052924	1016571	743200	24134316	78748244	NA	0
190	2	2868218	566921142	1016623	743200	24250400	79152693	NA	0
191	2	2855265	569776407	1016675	743200	24366354	79556693	NA	0
192	2	2855271	572631678	1016727	743200	24482308	79960679	NA	0
193	2	2855265	575486943	1016779	743200	24598262	80364676	NA	0
194	2	2821915	578308858	1016831	743200	24712889	80763648	NA	0
195	2	3972595	582281453	1016883	743200	24883758	81336336	NA	0
196	2	2766851	585048304	1016935	743200	24995557	81726133	NA	0
197	2	2787110	587835414	1016987	743200	25107741	82117554	NA	0
198	3	125119	587960533	1017002	743200	25111674	82135726	NA	0
199	3	3266035	591226568	1017017	743200	25245136	82597692	NA	0
200	3	3270177	594496745	1017032	743200	25378823	83060353	NA	0
201	3	3321547	597818292	1017047	743200	25514710	83531911	NA	0
202	3	3109632	600927924	1017062	743200	25643401	83977810	NA	0
203	3	2532303	603460227	1017077	743200	25754832	84357345	NA	0
204	3	2127942	605588169	1017092	743200	25854798	84688879	NA	0
205	3	2128191	607716360	1017107	743200	25954774	85020401	NA	0
206	3	2128182	609844542	1017122	743200	26054746	85351930	NA	0
207	3	2799214	612643756	1017137	743200	26167043	85745218	NA	0
208	3	2794208	615437964	1017152	743200	26279511	86137118	NA	0
209	3	2786191	618224155	1017167	743200	26391796	86529588	NA	0
210	3	2739296	620963451	1017182	743200	26502698	86918468	NA	0
211	3	2848090	623811541	1017197	743200	26617379	87318750	NA	0
212	3	3355705	627167246	1017212	743200	26739648	87748657	NA	0
213	3	2958394	630125640	1017227	743200	26857371	88159140	NA	0
214	3	2776567	632902207	1017242	743200	26969297	88549609	NA	0
215	3	2826870	635729077	1017257	743200	27081748	88942021	NA	0
216	3	3231048	638960125	1017272	743200	27203253	89367846	NA	0
217	3	2815487	641775612	1017287	743200	27315563	89759916	NA	0
218	3	2823107	644598719	1017302	743200	27427942	90152300	NA	0
219	3	2803658	647402377	1017317	743200	27540126	90544335	NA	0
220	3	3192286	650594663	1017332	743200	27660401	90963255	NA	0
221	3	3172511	653767174	1017347	743200	27777153	91371870	NA	0
222	3	2808060	656575234	1017362	743200	27889568	91764839	NA	0
223	3	3975449	660550683	1017377	744235	28058274	92332755	NA	1
224	3	2815695	663366378	1017392	744235	28170767	92726245	NA	0
225	3	3984092	667350470	1017407	744235	28339583	93294742	NA	0
226	3	2781125	670131595	1017422	744235	28451552	93685623	NA	0
227	3	3170175	673301770	1017437	744235	28576157	94118515	NA	0
228	3	2779198	676080968	1017452	744235	28688123	94509198	NA	0
229	3	2803816	678884784	1017467	744235	28801531	94904866	NA	0
230	3	3148878	682033662	1017482	744235	28923905	95330956	NA	0
231	3	3226346	685260008	1017497	744235	29049676	95767609	NA	0
232	3	3745209	689005217	1017512	744235	29196789	96279727	NA	0
233	3	2832597	691837814	1017527	744235	29310870	96677486	NA	0
234	3	2975558	694813372	1017542	744235	29426371	97081238	NA	0
235	3	4102823	698916195	1017557	744235	29596755	97654229	NA	0
236	3	2784397	701700592	1017572	744235	29709117	98046766	NA	0
237	3	2775716	704476308	1017587	744235	29821262	98437906	NA	0
238	3	2802169	707278477	1017602	744235	29933899	98831368	NA	0
239	3	2755014	710033491	1017617	744235	30045636	99219292	NA	0
240	3	2955980	712989471	1017632	744235	30159870	99616502	NA	0
241	3	3087189	716076660	1017647	744235	30275176	100020702	NA	0
242	3	3161643	719238303	1017662	744235	30393907	100435318	NA	0
243	3	3795301	723033604	1017677	744235	30534659	100926809	NA	0
244	3	2776051	725809655	1017692	744235	30646563	101317475	NA	0
245	3	2792457	728602112	1017707	744235	30759304	101710335	NA	0
246	3	2896914	731499026	1017722	744235	30875551	102116357	NA	0
247	3	2859384	734358410	1017737	744235	30988363	102509383	NA	0
248	3	3411313	737769723	1017752	744235	31125106	102984074	NA	0
249	3	3022235	740791958	1017767	744235	31239754	103383111	NA	0
250	3	2995739	743787697	1017782	744235	31354788	103780398	NA	0
251	3	4150524	747938221	1017797	744235	31526049	104351862	NA	0
