dataset	project	generation	probe_tus	probe_raw_bytes	p29_probe_trajectory	p29_probe_literal_wire_fraction	p29_probe_root_missing_wire_fraction	choice	complete_winner	p29_complete_bytes	grz_complete_bytes	selected_bytes	regret_bytes	correct
matrix44	spdlog	linuxbrew	112	214970999	0.16569287922063602	0.5388610422407639	0.05861663992876717	grz	grz	698032	498347	498347	0	True
fixed16	llvm	native-fixed16	112	404433872	0.0771721098587146	0.5713534735064668	0.0434573883425268	p29	p29	7275808	7638087	7275808	0	True
fixed16	rocksdb	native-fixed16	112	739716080	0.6061848613798474	0.20258314466859897	0.34517979629015433	grz	grz	8533638	5456878	5456878	0	True
fixed16	duckdb	native-fixed16	112	363349979	0.05068702018813878	0.338148738447504	0.028057952149157975	grz	grz	7877084	6576037	6576037	0	True
fixed16	abseil	native-fixed16	112	318073203	0.3277325717037028	0.24788395806673943	0.24838728346339317	grz	grz	5056453	3424583	3424583	0	True
fixed16	opencv	native-fixed16	112	121562194	0.31824888451253547	0.48761807043486133	0.05194042912756134	grz	grz	6737137	6687096	6687096	0	True
fixed16	godot	native-fixed16	112	219324625	0.264937873896765	0.5955902199305678	0.026932419980827044	p29	p29	35085071	53427567	35085071	0	True
fixed16	fmt	native-fixed16	50	136350082	0.06989930021126702	0.28740651214773516	0.17180971688856833	grz	grz	923382	662261	662261	0	True
fixed16	spdlog	native-fixed16	34	98384472	0.04867478291540832	0.3139275783500819	0.06471793133605747	grz	grz	477951	436106	436106	0	True
fixed16	catch2	native-fixed16	112	118479871	0.13643000498200825	0.23028687449068383	0.06205715390671399	grz	grz	907327	626178	626178	0	True
fixed16	nlohmann-json	native-fixed16	99	293917707	0.09441007955670491	0.2950458708342928	0.05990040153657165	grz	grz	1011863	743198	743198	0	True
fixed16	range-v3	native-fixed16	112	276081683	0.059607597894895906	0.3169262781530706	0.06217906179807034	grz	grz	739437	628319	628319	0	True
fixed16	eigen	native-fixed16	112	612714455	0.19254667428501412	0.4618240639214877	0.05173672554362577	p29	p29	1143631	2040151	1143631	0	True
fixed16	re2	native-fixed16	72	110231455	0.04896208805152129	0.3298129923967973	0.05366035970761146	grz	grz	436132	401210	401210	0	True
fixed16	leveldb	native-fixed16	72	143868249	0.15766648329911706	0.2829607760438633	0.13840638484248774	grz	grz	616460	489989	489989	0	True
fixed16	simdjson	native-fixed16	112	337573645	0.040357767148123384	0.30082140091210274	0.041938931062064935	grz	grz	1260459	955208	955208	0	True
fixed16	cereal	native-fixed16	84	326899429	0.004799439542892118	0.2820283321900282	0.04630059125208245	grz	grz	459195	423581	423581	0	True
