group	tu_lo	tu_hi	out_bytes	add_bytes	comp_bytes	ratio	hist_base	hist_extent	closed_by	end_offset
190	190	191	1196938	0	145	8254.74	0	223562884	tu	452486
191	191	192	764286	181	327	2337.27	0	224759822	tu	452813
192	192	193	1501133	0	145	10352.64	0	225524108	tu	452958
193	193	194	764286	181	327	2337.27	0	227025241	tu	453285
194	194	195	1895521	0	145	13072.56	0	227789527	tu	453430
195	195	196	764286	181	327	2337.27	0	229685048	tu	453757
196	196	197	1430203	0	145	9863.47	0	230449334	tu	453902
197	197	198	764286	181	327	2337.27	0	231879537	tu	454229
198	198	199	1094923	0	145	7551.19	0	232643823	tu	454374
199	199	200	764286	181	327	2337.27	0	233738746	tu	454701
200	200	201	1453058	0	145	10021.09	0	234503032	tu	454846
201	201	202	764286	181	327	2337.27	0	235956090	tu	455173
202	202	203	1893180	0	145	13056.41	0	236720376	tu	455318
203	203	204	764286	181	327	2337.27	0	238613556	tu	455645
204	204	205	1451914	0	145	10013.20	0	239377842	tu	455790
205	205	206	764286	181	327	2337.27	0	240829756	tu	456117
206	206	207	1629581	0	145	11238.49	0	241594042	tu	456262
207	207	208	764286	181	327	2337.27	0	243223623	tu	456589
208	208	209	1631687	0	145	11253.01	0	243987909	tu	456734
209	209	210	764286	181	327	2337.27	0	245619596	tu	457061
210	210	211	1451577	0	145	10010.88	0	246383882	tu	457206
211	211	212	764286	181	327	2337.27	0	247835459	tu	457533
212	212	213	1454020	0	145	10027.72	0	248599745	tu	457678
213	213	214	764286	181	327	2337.27	0	250053765	tu	458005
214	214	215	1783268	0	145	12298.40	0	250818051	tu	458150
215	215	216	1310665	0	145	9039.07	0	252601319	build	458295
216	216	217	1496695	0	142	10540.11	0	253911984	tu	458437
217	217	218	1750960	0	145	12075.59	0	255408679	tu	458582
218	218	219	1810990	0	145	12489.59	0	257159639	tu	458727
219	219	220	1439885	0	145	9930.24	0	258970629	tu	458872
220	220	221	1197209	0	145	8256.61	0	260410514	tu	459017
221	221	222	1580971	0	145	10903.25	0	261607723	tu	459162
222	222	223	1468475	0	145	10127.41	0	263188694	tu	459307
223	223	224	1467018	0	145	10117.37	0	264657169	tu	459452
224	224	225	10456	0	144	72.61	0	266124187	tu	459596
225	225	226	1410969	0	145	9730.82	0	266134643	tu	459741
226	226	227	1447898	0	145	9985.50	0	267545612	tu	459886
227	227	228	1483622	0	145	10231.88	0	268993510	tu	460031
228	228	229	1564628	0	145	10790.54	0	270477132	tu	460176
229	229	230	1552547	0	145	10707.22	0	272041760	tu	460321
230	230	231	1495660	0	145	10314.90	0	273594307	tu	460466
231	231	232	1336603	0	145	9217.95	0	275089967	tu	460611
232	232	233	857848	0	145	5916.19	0	276426570	tu	460756
233	233	234	1201306	0	145	8284.87	0	277284418	tu	460901
234	234	235	21132	0	145	145.74	0	278485724	tu	461046
235	235	236	132571	0	145	914.28	0	278506856	tu	461191
236	236	237	26370	0	145	181.86	0	278639427	tu	461336
237	237	238	759620	0	145	5238.76	0	278665797	tu	461481
238	238	239	1494907	0	145	10309.70	0	279425417	tu	461626
239	239	240	1091510	0	145	7527.66	0	280920324	tu	461771
240	240	241	1893739	0	145	13060.27	0	282011834	tu	461916
241	241	242	1195003	0	145	8241.40	0	283905573	tu	462061
