group	tu_lo	tu_hi	out_bytes	add_bytes	comp_bytes	ratio	hist_base	hist_extent	closed_by	end_offset
192	192	193	1773548	0	153	11591.82	0	490417888	tu	707426
193	193	194	3586120	0	146	24562.47	0	492191436	tu	707572
194	194	195	2115274	0	146	14488.18	0	495777556	tu	707718
195	195	196	1378731	0	145	9508.49	0	497892830	tu	707863
196	196	197	3138583	0	146	21497.14	0	499271561	tu	708009
197	197	198	1714549	0	142	12074.29	0	502410144	tu	708151
198	198	199	2336657	0	146	16004.50	0	504124693	tu	708297
199	199	200	3073802	0	146	21053.44	0	506461350	tu	708443
200	200	201	1467681	0	145	10121.94	0	509535152	tu	708588
201	201	202	3240489	0	146	22195.13	0	511002833	tu	708734
202	202	203	75734	0	145	522.30	0	514243322	tu	708879
203	203	204	3322508	0	146	22756.90	0	514319056	build	709025
